"agent","agent_is","weight","hierarchy_belongs","source"
"Pixel2Mesh","DeepNN","1","AI","Pixel2Mesh"
"PSG","DeepNN","1","AI","PSG"
"3D-R2N2","DeepNN","1","AI","3D-R2N2"
"N3MR","DeepNN","1","AI","N3MR"
"DeepFlux","DeepNN","1","AI","DeepFlux"
"Hi-Fi","DeepNN","1","AI","Hi-Fi"
"FGFA + Seq-NMS","DeepNN","1","AI","FGFA + Seq-NMS"
"Attention-based model","DeepNN","1","AI","Attention-based model"
"Sliding Window","DeepNN","1","AI","Sliding Window"
"Recurrent Pixel Embedding","DeepNN","1","AI","Recurrent Pixel Embedding"
"inst-DML","DeepNN","1","AI","inst-DML"
"PCL-OB-G-Ens + FRCNN","DeepNN","1","AI","PCL-OB-G-Ens + FRCNN"
"OICR-Ens + FRCNN","DeepNN","1","AI","OICR-Ens + FRCNN"
"Deep Self-Taught Learning","DeepNN","1","AI","Deep Self-Taught Learning"
"WCCN","DeepNN","1","AI","WCCN"
"MSLPD","DeepNN","1","AI","MSLPD"
"WSDDN + context","DeepNN","1","AI","WSDDN + context"
"pipeline method","DeepNN","1","AI","pipeline method"
"WSDDN-Ens","DeepNN","1","AI","WSDDN-Ens"
"Self-paced curriculum learning","DeepNN","1","AI","Self-paced curriculum learning"
"Online Instance Classifier Refinement","DeepNN","1","AI","Online Instance Classifier Refinement"
"SPNs","DeepNN","1","AI","SPNs"
"Deep Feature Maps","DeepNN","1","AI","Deep Feature Maps"
"ProNet","DeepNN","1","AI","ProNet"
"PointRCNN","DeepNN","1","AI","PointRCNN"
"AVOD + Feature Pyramid","DeepNN","1","AI","AVOD + Feature Pyramid"
"IPOD","DeepNN","1","AI","IPOD"
"PC-CNN-V2","DeepNN","1","AI","PC-CNN-V2"
"Frustum PointNets","DeepNN","1","AI","Frustum PointNets"
"RoarNet","DeepNN","1","AI","RoarNet"
"VoxelNet ","DeepNN","1","AI","VoxelNet "
"VoxelNet","DeepNN","1","AI","VoxelNet"
"YOLOv3-tiny","DeepNN","1","AI","YOLOv3-tiny"
"YOLOv2 608x608","DeepNN","1","AI","YOLOv2 608x608"
"YOLOv3-416","DeepNN","1","AI","YOLOv3-416"
"YOLO","DeepNN","1","AI","YOLO"
"BlitzNet512 (s4)","DeepNN","1","AI","BlitzNet512 (s4)"
"BlitzNet512 (s8)","DeepNN","1","AI","BlitzNet512 (s8)"
"R-FCN","DeepNN","1","AI","R-FCN"
"Faster R-CNN","DeepNN","1","AI","Faster R-CNN"
"SNIPER","DeepNN","1","AI","SNIPER"
"PANet + ResNeXt-101","DeepNN","1","AI","PANet + ResNeXt-101"
"D-RFCN + SNIP","DeepNN","1","AI","D-RFCN + SNIP"
"M2Det","DeepNN","1","AI","M2Det"
"ExtremeNet (MS)","DeepNN","1","AI","ExtremeNet (MS)"
"Cascade R-CNN","DeepNN","1","AI","Cascade R-CNN"
"RetinaMask + ResNeXt-101-FPN-GN ","DeepNN","1","AI","RetinaMask + ResNeXt-101-FPN-GN "
"ResNet-101 + Group Normalization","DeepNN","1","AI","ResNet-101 + Group Normalization"
"RefineDet512+","DeepNN","1","AI","RefineDet512+"
"GHM-C + GHM-R","DeepNN","1","AI","GHM-C + GHM-R"
"D-RFCN + ResNet-101 (6 scales)","DeepNN","1","AI","D-RFCN + ResNet-101 (6 scales)"
"RetinaNet","DeepNN","1","AI","RetinaNet"
"IoU-Net","DeepNN","1","AI","IoU-Net"
"ResNet-50-FPN Mask R-CNN + KL Loss + var voting + soft-NMS","DeepNN","1","AI","ResNet-50-FPN Mask R-CNN + KL Loss + var voting + soft-NMS"
"FPN (ResNet101 backbone)","DeepNN","1","AI","FPN (ResNet101 backbone)"
"Faster R-CNN + TDM","DeepNN","1","AI","Faster R-CNN + TDM"
"Faster R-CNN + FPN","DeepNN","1","AI","Faster R-CNN + FPN"
"Faster R-CNN + box refinement + context + multi-scale testing","DeepNN","1","AI","Faster R-CNN + box refinement + context + multi-scale testing"
"YOLOv3 + Darknet-53","DeepNN","1","AI","YOLOv3 + Darknet-53"
"YOLO v2 + Darknet-19","DeepNN","1","AI","YOLO v2 + Darknet-19"
"OverFeat","DeepNN","1","AI","OverFeat"
"CoupleNet","DeepNN","1","AI","CoupleNet"
"SPP (Overfeat-7)","DeepNN","1","AI","SPP (Overfeat-7)"
"BlitzNet512 + seg (s8)","DeepNN","1","AI","BlitzNet512 + seg (s8)"
"OHEM","DeepNN","1","AI","OHEM"
"YOLO v2","DeepNN","1","AI","YOLO v2"
"DeNet-101 (skip)","DeepNN","1","AI","DeNet-101 (skip)"
"ResNet-101","DeepNN","1","AI","ResNet-101"
"I+ORE","DeepNN","1","AI","I+ORE"
"FRCN","DeepNN","1","AI","FRCN"
"VGG-16 + KL Loss + var voting + soft-NMS","DeepNN","1","AI","VGG-16 + KL Loss + var voting + soft-NMS"
"subCNN","DeepNN","1","AI","subCNN"
"PWC-Net","DeepNN","1","AI","PWC-Net"
"LiteFlowNet","DeepNN","1","AI","LiteFlowNet"
"Spynet","DeepNN","1","AI","Spynet"
"deep joint entity disambiguation w neural attention","DeepNN","1","AI","deep joint entity disambiguation w neural attention"
"(Lee et al., 2017)+ELMo","DeepNN","1","AI","(Lee et al., 2017)+ELMo"
"Lee et al.","DeepNN","1","AI","Lee et al."
"SymmFCNet (Full)","DeepNN","1","AI","SymmFCNet (Full)"
"I-CFN","DeepNN","1","AI","I-CFN"
"U-CFN","DeepNN","1","AI","U-CFN"
"GC-MC","DeepNN","1","AI","GC-MC"
"Factorized Exchangeable Autoencoder","DeepNN","1","AI","Factorized Exchangeable Autoencoder"
"sRGCNN","DeepNN","1","AI","sRGCNN"
"DeepRec","DeepNN","1","AI","DeepRec"
"Factorization with dictionary learning","DeepNN","1","AI","Factorization with dictionary learning"
"Mult-VAE PR","DeepNN","1","AI","Mult-VAE PR"
"Mult-DAE","DeepNN","1","AI","Mult-DAE"
"Sparse FC","DeepNN","1","AI","Sparse FC"
"CF-NADE","DeepNN","1","AI","CF-NADE"
"I-AutoRec","DeepNN","1","AI","I-AutoRec"
"NNMF","DeepNN","1","AI","NNMF"
"GC-MC + feat","DeepNN","1","AI","GC-MC + feat"
"Self-Supervised Exchangeable Model","DeepNN","1","AI","Self-Supervised Exchangeable Model"
"GMC","DeepNN","1","AI","GMC"
"PI-REC","DeepNN","1","AI","PI-REC"
"MultiCCA + CNN","DeepNN","1","AI","MultiCCA + CNN"
"BiLSTM (UN)","DeepNN","1","AI","BiLSTM (UN)"
"BiLSTM (Europarl)","DeepNN","1","AI","BiLSTM (Europarl)"
"Text2Vis","DeepNN","1","AI","Text2Vis"
"Neural transition-based model","DeepNN","1","AI","Neural transition-based model"
"AmoebaNet-B + co","DeepNN","1","AI","AmoebaNet-B + co"
"PathLevel EAS + co","DeepNN","1","AI","PathLevel EAS + co"
"NASNet-A + co","DeepNN","1","AI","NASNet-A + co"
"DARTS + co","DeepNN","1","AI","DARTS + co"
"ENAS + co","DeepNN","1","AI","ENAS + co"
"IAFN","DeepNN","1","AI","IAFN"
"IAFN+ENT","DeepNN","1","AI","IAFN+ENT"
"AdaSent","DeepNN","1","AI","AdaSent"
"CNN+MCFA","DeepNN","1","AI","CNN+MCFA"
"Byte mLSTM","DeepNN","1","AI","Byte mLSTM"
"USE","DeepNN","1","AI","USE"
"Capsule-B ","DeepNN","1","AI","Capsule-B "
"Fast Dropout","DeepNN","1","AI","Fast Dropout"
"SWEM-concat","DeepNN","1","AI","SWEM-concat"
"GRU-RNN-GLOVE","DeepNN","1","AI","GRU-RNN-GLOVE"
"DELF+FT+ATT+DIR+QE","DeepNN","1","AI","DELF+FT+ATT+DIR+QE"
"DIR+QE*","DeepNN","1","AI","DIR+QE*"
"DELF+FT+ATT","DeepNN","1","AI","DELF+FT+ATT"
"siaMAC+QE*","DeepNN","1","AI","siaMAC+QE*"
"ABE-8-512","DeepNN","1","AI","ABE-8-512"
"Anserini BM25+RM3","DeepNN","1","AI","Anserini BM25+RM3"
"SNRM-PRF","DeepNN","1","AI","SNRM-PRF"
"NPRF-DRMM","DeepNN","1","AI","NPRF-DRMM"
"SNRM","DeepNN","1","AI","SNRM"
"NPRF-KNRM","DeepNN","1","AI","NPRF-KNRM"
"FNRM-RankProb_Embed","DeepNN","1","AI","FNRM-RankProb_Embed"
"FNRM-Rank_Embed","DeepNN","1","AI","FNRM-Rank_Embed"
"DRMM","DeepNN","1","AI","DRMM"
"POSIT-DRMM-MV","DeepNN","1","AI","POSIT-DRMM-MV"
"PACRR","DeepNN","1","AI","PACRR"
"QL","DeepNN","1","AI","QL"
"KNRM","DeepNN","1","AI","KNRM"
"PSENet-1s","DeepNN","1","AI","PSENet-1s"
"SLPR","DeepNN","1","AI","SLPR"
"CTD+TLOC","DeepNN","1","AI","CTD+TLOC"
"EAST","DeepNN","1","AI","EAST"
"SegLink","DeepNN","1","AI","SegLink"
"FOTS","DeepNN","1","AI","FOTS"
"Corner localization + region segmentation","DeepNN","1","AI","Corner localization + region segmentation"
"FTSN","DeepNN","1","AI","FTSN"
"R2CNN","DeepNN","1","AI","R2CNN"
"WordSup","DeepNN","1","AI","WordSup"
"SSTD","DeepNN","1","AI","SSTD"
"Corner Localization + Region Segmentation","DeepNN","1","AI","Corner Localization + Region Segmentation"
"Bag-of-Words","DeepNN","1","AI","Bag-of-Words"
"Bag-of-Bigrams","DeepNN","1","AI","Bag-of-Bigrams"
"CASCADE","DeepNN","1","AI","CASCADE"
"Structural-scaffolds","DeepNN","1","AI","Structural-scaffolds"
"SciBERT","DeepNN","1","AI","SciBERT"
"BiLSTM-Attention + ELMo","DeepNN","1","AI","BiLSTM-Attention + ELMo"
"Feature-rich Random Forest","DeepNN","1","AI","Feature-rich Random Forest"
"BiLSTM-Attention","DeepNN","1","AI","BiLSTM-Attention"
"SVM","DeepNN","1","AI","SVM"
"Structural-Scaffolds","DeepNN","1","AI","Structural-Scaffolds"
"Feature-Rich Random Forest","DeepNN","1","AI","Feature-Rich Random Forest"
"Transformer (finetune)","DeepNN","1","AI","Transformer (finetune)"
"BERT","DeepNN","1","AI","BERT"
"Hierarchical Neural Networks","DeepNN","1","AI","Hierarchical Neural Networks"
"HDLTex","DeepNN","1","AI","HDLTex"
"L MIXED","DeepNN","1","AI","L MIXED"
"Rules","DeepNN","1","AI","Rules"
"ULMFiT","DeepNN","1","AI","ULMFiT"
"DRNN","DeepNN","1","AI","DRNN"
"DPCNN","DeepNN","1","AI","DPCNN"
"EXAM","DeepNN","1","AI","EXAM"
"fastText","DeepNN","1","AI","fastText"
"LEAM","DeepNN","1","AI","LEAM"
"CCCapsNet","DeepNN","1","AI","CCCapsNet"
"Balanced+bi-leaf-RNN","DeepNN","1","AI","Balanced+bi-leaf-RNN"
"VDCN","DeepNN","1","AI","VDCN"
"SVDCNN","DeepNN","1","AI","SVDCNN"
"Char-level CNN","DeepNN","1","AI","Char-level CNN"
"Seq2CNN with GWS(50)","DeepNN","1","AI","Seq2CNN with GWS(50)"
"ToWE-SG","DeepNN","1","AI","ToWE-SG"
"USE_T+CNN","DeepNN","1","AI","USE_T+CNN"
"LSTM-CNN","DeepNN","1","AI","LSTM-CNN"
"TBCNN","DeepNN","1","AI","TBCNN"
"CoVe","DeepNN","1","AI","CoVe"
"C-LSTM","DeepNN","1","AI","C-LSTM"
"SWEM-aver","DeepNN","1","AI","SWEM-aver"
"SGCN","DeepNN","1","AI","SGCN"
"Text GCN","DeepNN","1","AI","Text GCN"
"CNN+Lowercased","DeepNN","1","AI","CNN+Lowercased"
"FastText","DeepNN","1","AI","FastText"
"Seq2CNN(50)","DeepNN","1","AI","Seq2CNN(50)"
"M-ACNN","DeepNN","1","AI","M-ACNN"
"RESIDE","DeepNN","1","AI","RESIDE"
"PCNN+ATT","DeepNN","1","AI","PCNN+ATT"
"MIML-RE","DeepNN","1","AI","MIML-RE"
"MultiR","DeepNN","1","AI","MultiR"
"Lattice","DeepNN","1","AI","Lattice"
"BiLSTM+CRF+adversarial+self-attention","DeepNN","1","AI","BiLSTM+CRF+adversarial+self-attention"
"Aguilar et al.","DeepNN","1","AI","Aguilar et al."
"SpinningBytes","DeepNN","1","AI","SpinningBytes"
"BERT Large","DeepNN","1","AI","BERT Large"
"CVT + Multi-Task","DeepNN","1","AI","CVT + Multi-Task"
"BERT Base","DeepNN","1","AI","BERT Base"
"Neural-CRF+AE","DeepNN","1","AI","Neural-CRF+AE"
"BiLSTM-CRF+ELMo","DeepNN","1","AI","BiLSTM-CRF+ELMo"
"LD-Net","DeepNN","1","AI","LD-Net"
"TagLM","DeepNN","1","AI","TagLM"
"CRF + AutoEncoder","DeepNN","1","AI","CRF + AutoEncoder"
"S-LSTM","DeepNN","1","AI","S-LSTM"
"LSTM with dynamic skip","DeepNN","1","AI","LSTM with dynamic skip"
"HSCRF","DeepNN","1","AI","HSCRF"
"Yang et al.","DeepNN","1","AI","Yang et al."
"LM-LSTM-CRF","DeepNN","1","AI","LM-LSTM-CRF"
"Ma and Hovy","DeepNN","1","AI","Ma and Hovy"
"LSTM-CRF","DeepNN","1","AI","LSTM-CRF"
"SWEM-CRF","DeepNN","1","AI","SWEM-CRF"
"VSL-GG-Hier","DeepNN","1","AI","VSL-GG-Hier"
"Bi-LSTM-CRF + Lexical Features","DeepNN","1","AI","Bi-LSTM-CRF + Lexical Features"
"BiLSTM-CRF","DeepNN","1","AI","BiLSTM-CRF"
"Iterated Dilated CNN","DeepNN","1","AI","Iterated Dilated CNN"
"Joint Model","DeepNN","1","AI","Joint Model"
"Averaged Perceptron","DeepNN","1","AI","Averaged Perceptron"
"SCIIE","DeepNN","1","AI","SCIIE"
"CollaboNet","DeepNN","1","AI","CollaboNet"
"MMMU-BA","DeepNN","1","AI","MMMU-BA"
"bc-LSTM","DeepNN","1","AI","bc-LSTM"
"MARN","DeepNN","1","AI","MARN"
"CHFusion","DeepNN","1","AI","CHFusion"
"Liu et al.","DeepNN","1","AI","Liu et al."
"Sentic LSTM + TA + SA","DeepNN","1","AI","Sentic LSTM + TA + SA"
"LSTM-LOC","DeepNN","1","AI","LSTM-LOC"
"HAPN","DeepNN","1","AI","HAPN"
"SA-LSTM-P","DeepNN","1","AI","SA-LSTM-P"
"MGAN","DeepNN","1","AI","MGAN"
"LCR-Rot","DeepNN","1","AI","LCR-Rot"
"BBLSTM-SL","DeepNN","1","AI","BBLSTM-SL"
"AOA","DeepNN","1","AI","AOA"
"PBAN","DeepNN","1","AI","PBAN"
"BILSTM-ATT-G (TSSVAE)","DeepNN","1","AI","BILSTM-ATT-G (TSSVAE)"
"AEN","DeepNN","1","AI","AEN"
"MemNet","DeepNN","1","AI","MemNet"
"TNet","DeepNN","1","AI","TNet"
"LSTM+SynATT+TarRep","DeepNN","1","AI","LSTM+SynATT+TarRep"
"RAM","DeepNN","1","AI","RAM"
"IARM","DeepNN","1","AI","IARM"
"PF-CNN","DeepNN","1","AI","PF-CNN"
"PRET+MULT","DeepNN","1","AI","PRET+MULT"
"JCI (hops)","DeepNN","1","AI","JCI (hops)"
"IAN","DeepNN","1","AI","IAN"
"GCAE","DeepNN","1","AI","GCAE"
"ATAE-LSTM ","DeepNN","1","AI","ATAE-LSTM "
"NP (hops) ","DeepNN","1","AI","NP (hops) "
"TD-LSTM","DeepNN","1","AI","TD-LSTM"
"EDD-LG (shared)","DeepNN","1","AI","EDD-LG (shared)"
"Suffix BiLSTM","DeepNN","1","AI","Suffix BiLSTM"
"BCN+ELMo","DeepNN","1","AI","BCN+ELMo"
"BCN+Char+CoVe","DeepNN","1","AI","BCN+Char+CoVe"
"CNN-RNF-LSTM","DeepNN","1","AI","CNN-RNF-LSTM"
"MEAN","DeepNN","1","AI","MEAN"
"Bi-LSTM+2+5","DeepNN","1","AI","Bi-LSTM+2+5"
"Epic","DeepNN","1","AI","Epic"
"RNN-Capsule","DeepNN","1","AI","RNN-Capsule"
"RNTN","DeepNN","1","AI","RNTN"
"GRU-RNN-WORD2VEC","DeepNN","1","AI","GRU-RNN-WORD2VEC"
"Joined Model Multi-tasking","DeepNN","1","AI","Joined Model Multi-tasking"
"GloVe+Emo2Vec","DeepNN","1","AI","GloVe+Emo2Vec"
"Emo2Vec","DeepNN","1","AI","Emo2Vec"
"BiLSTM generalized pooling","DeepNN","1","AI","BiLSTM generalized pooling"
"SWEM-hier","DeepNN","1","AI","SWEM-hier"
"CNN Large","DeepNN","1","AI","CNN Large"
"Block-sparse LSTM","DeepNN","1","AI","Block-sparse LSTM"
"bmLSTM","DeepNN","1","AI","bmLSTM"
"Neural Semantic Encoder","DeepNN","1","AI","Neural Semantic Encoder"
"BLSTM-2DCNN","DeepNN","1","AI","BLSTM-2DCNN"
"Standard DR-AGG","DeepNN","1","AI","Standard DR-AGG"
"USE_T+CNN (lrn w.e.) ","DeepNN","1","AI","USE_T+CNN (lrn w.e.) "
"Reverse DR-AGG","DeepNN","1","AI","Reverse DR-AGG"
"DC-MCNN","DeepNN","1","AI","DC-MCNN"
"ToWE-CBOW","DeepNN","1","AI","ToWE-CBOW"
"LSTMs+CNNs ensemble with multiple conv. ops ","DeepNN","1","AI","LSTMs+CNNs ensemble with multiple conv. ops "
"Deep Bi-LSTM+attention","DeepNN","1","AI","Deep Bi-LSTM+attention"
"oh-LSTM","DeepNN","1","AI","oh-LSTM"
"Virtual adversarial training","DeepNN","1","AI","Virtual adversarial training"
"seq2-bown-CNN","DeepNN","1","AI","seq2-bown-CNN"
"CNN+LSTM","DeepNN","1","AI","CNN+LSTM"
"USE_T+CNN ","DeepNN","1","AI","USE_T+CNN "
"USE_T+DAN (w2v w.e.) ","DeepNN","1","AI","USE_T+DAN (w2v w.e.) "
"SRNN","DeepNN","1","AI","SRNN"
"Gumbel+bi-leaf-RNN","DeepNN","1","AI","Gumbel+bi-leaf-RNN"
"Distributional Correspondence Indexing","DeepNN","1","AI","Distributional Correspondence Indexing"
"Multi-task tri-training","DeepNN","1","AI","Multi-task tri-training"
"VFAE","DeepNN","1","AI","VFAE"
"Asymmetric tri-training","DeepNN","1","AI","Asymmetric tri-training"
"DANN","DeepNN","1","AI","DANN"
"USE_T+CNN (w2v w.e.) ","DeepNN","1","AI","USE_T+CNN (w2v w.e.) "
"jPTDP","DeepNN","1","AI","jPTDP"
"Andor et al.","DeepNN","1","AI","Andor et al."
"Weiss et al.","DeepNN","1","AI","Weiss et al."
"Deep Biaffine","DeepNN","1","AI","Deep Biaffine"
"Distilled neural FOG","DeepNN","1","AI","Distilled neural FOG"
"BIST transition-based parser","DeepNN","1","AI","BIST transition-based parser"
"Arc-hybrid","DeepNN","1","AI","Arc-hybrid"
"BIST graph-based parser","DeepNN","1","AI","BIST graph-based parser"
"BiLSTM-JOINT","DeepNN","1","AI","BiLSTM-JOINT"
"Ann+PAT+MT","DeepNN","1","AI","Ann+PAT+MT"
"Bi-LSTM + LMcost","DeepNN","1","AI","Bi-LSTM + LMcost"
"Bi-LSTM + err POS GR ","DeepNN","1","AI","Bi-LSTM + err POS GR "
"Bi-LSTM + charattn","DeepNN","1","AI","Bi-LSTM + charattn"
"Bi-LSTM","DeepNN","1","AI","Bi-LSTM"
"BiLSTM-JOINT (trained on FCE)","DeepNN","1","AI","BiLSTM-JOINT (trained on FCE)"
"Bi-LSTM + POS (unrestricted data)","DeepNN","1","AI","Bi-LSTM + POS (unrestricted data)"
"Bi-LSTM (unrestricted data)","DeepNN","1","AI","Bi-LSTM (unrestricted data)"
"Bi-LSTM + POS (trained on FCE)","DeepNN","1","AI","Bi-LSTM + POS (trained on FCE)"
"Bi-LSTM + LMcost (trained on FCE)","DeepNN","1","AI","Bi-LSTM + LMcost (trained on FCE)"
"Bi-LSTM (trained on FCE)","DeepNN","1","AI","Bi-LSTM (trained on FCE)"
"SMT + BiGRU","DeepNN","1","AI","SMT + BiGRU"
"CNN Seq2Seq + Quality Estimation","DeepNN","1","AI","CNN Seq2Seq + Quality Estimation"
"CNN Seq2Seq","DeepNN","1","AI","CNN Seq2Seq"
"CNN Seq2Seq + Fluency Boost","DeepNN","1","AI","CNN Seq2Seq + Fluency Boost"
"CNN Seq2Seq + Fluency Boost and inference","DeepNN","1","AI","CNN Seq2Seq + Fluency Boost and inference"
"Exact Set Matching","DeepNN","1","AI","Exact Set Matching"
"InferSent","DeepNN","1","AI","InferSent"
"USE_T","DeepNN","1","AI","USE_T"
"LISA + ELMo","DeepNN","1","AI","LISA + ELMo"
"He et al. 2018 + ELMo","DeepNN","1","AI","He et al. 2018 + ELMo"
"LISA","DeepNN","1","AI","LISA"
"He et al. 2018","DeepNN","1","AI","He et al. 2018"
"DeepSRL","DeepNN","1","AI","DeepSRL"
"BiLSTM-Span (Ensemble)","DeepNN","1","AI","BiLSTM-Span (Ensemble)"
"BiLSTM-Span","DeepNN","1","AI","BiLSTM-Span"
"Li et al.","DeepNN","1","AI","Li et al."
"He et al.,","DeepNN","1","AI","He et al.,"
"(He et al., 2017) + ELMo","DeepNN","1","AI","(He et al., 2017) + ELMo"
"Tan et al.","DeepNN","1","AI","Tan et al."
"He et al.","DeepNN","1","AI","He et al."
"MoNoise","DeepNN","1","AI","MoNoise"
"Syllable based","DeepNN","1","AI","Syllable based"
"unLOL","DeepNN","1","AI","unLOL"
"Joint POS + Norm in a Viterbi decoding","DeepNN","1","AI","Joint POS + Norm in a Viterbi decoding"
"DialogueRNN","DeepNN","1","AI","DialogueRNN"
"ICON","DeepNN","1","AI","ICON"
"CMN","DeepNN","1","AI","CMN"
"SPG","DeepNN","1","AI","SPG"
"VoxelNe","DeepNN","1","AI","VoxelNe"
"3DMV","DeepNN","1","AI","3DMV"
"PointNet++","DeepNN","1","AI","PointNet++"
"DeepLab-LargeFOV","DeepNN","1","AI","DeepLab-LargeFOV"
"SegNet","DeepNN","1","AI","SegNet"
"FCN","DeepNN","1","AI","FCN"
"PSPNet","DeepNN","1","AI","PSPNet"
"BiSeNet","DeepNN","1","AI","BiSeNet"
"ICNet","DeepNN","1","AI","ICNet"
"Dilation10","DeepNN","1","AI","Dilation10"
"DeepLab","DeepNN","1","AI","DeepLab"
"SwiftNetRN-18","DeepNN","1","AI","SwiftNetRN-18"
"FRRN","DeepNN","1","AI","FRRN"
"CRF-RNN","DeepNN","1","AI","CRF-RNN"
"ENet","DeepNN","1","AI","ENet"
"Dilated FCN-2s RGB","DeepNN","1","AI","Dilated FCN-2s RGB"
"DeepLabv3+ (Xception-JFT)","DeepNN","1","AI","DeepLabv3+ (Xception-JFT)"
"DeepLabv3-JFT","DeepNN","1","AI","DeepLabv3-JFT"
"Smooth Network with Channel Attention Block","DeepNN","1","AI","Smooth Network with Channel Attention Block"
"EncNet","DeepNN","1","AI","EncNet"
"ResNet-38 MS COCO","DeepNN","1","AI","ResNet-38 MS COCO"
"Multipath-RefineNet","DeepNN","1","AI","Multipath-RefineNet"
"Large Kernel Matters","DeepNN","1","AI","Large Kernel Matters"
"TuSimple","DeepNN","1","AI","TuSimple"
"DeepLab-CRF (ResNet-101)","DeepNN","1","AI","DeepLab-CRF (ResNet-101)"
"Deeplab-v2 with Lovasz-Softmax loss","DeepNN","1","AI","Deeplab-v2 with Lovasz-Softmax loss"
"ImageNet+JFT-300M Initialization","DeepNN","1","AI","ImageNet+JFT-300M Initialization"
"DeepLab-MSc-CRF-LargeFOV","DeepNN","1","AI","DeepLab-MSc-CRF-LargeFOV"
"ParseNet","DeepNN","1","AI","ParseNet"
"Dilated FCN-2s VGG19","DeepNN","1","AI","Dilated FCN-2s VGG19"
"Dilated Convolutions","DeepNN","1","AI","Dilated Convolutions"
"EncNet + JPU","DeepNN","1","AI","EncNet + JPU"
"RefineNet","DeepNN","1","AI","RefineNet"
"DilatedNet","DeepNN","1","AI","DilatedNet"
"FC-DenseNet103","DeepNN","1","AI","FC-DenseNet103"
"ReSeg","DeepNN","1","AI","ReSeg"
"SGPN","DeepNN","1","AI","SGPN"
"Joint Pyramid Upsampling + EncNet","DeepNN","1","AI","Joint Pyramid Upsampling + EncNet"
"DUpsampling","DeepNN","1","AI","DUpsampling"
"DeepLabV2","DeepNN","1","AI","DeepLabV2"
"VeryDeep","DeepNN","1","AI","VeryDeep"
"Piecewise","DeepNN","1","AI","Piecewise"
"HO CRF","DeepNN","1","AI","HO CRF"
"BoxSup","DeepNN","1","AI","BoxSup"
"ParseNet ","DeepNN","1","AI","ParseNet "
"FCN-8s","DeepNN","1","AI","FCN-8s"
"Mapillary","DeepNN","1","AI","Mapillary"
"OCNet","DeepNN","1","AI","OCNet"
"Dual Attention Network","DeepNN","1","AI","Dual Attention Network"
"ResNet-38","DeepNN","1","AI","ResNet-38"
"C-SGC","DeepNN","1","AI","C-SGC"
"C-GCN","DeepNN","1","AI","C-GCN"
"PA-LSTM","DeepNN","1","AI","PA-LSTM"
"Catena","DeepNN","1","AI","Catena"
"CAEVO","DeepNN","1","AI","CAEVO"
"Ning et al.","DeepNN","1","AI","Ning et al."
"ClearTK","DeepNN","1","AI","ClearTK"
"CASENet","DeepNN","1","AI","CASENet"
"Kochkina et al. 2017","DeepNN","1","AI","Kochkina et al. 2017"
"Bahuleyan and Vechtomova 2017","DeepNN","1","AI","Bahuleyan and Vechtomova 2017"
"WaveNet (L+F)","DeepNN","1","AI","WaveNet (L+F)"
"LSTM-RNN parametric","DeepNN","1","AI","LSTM-RNN parametric"
"HMM-driven concatenative","DeepNN","1","AI","HMM-driven concatenative"
"Tacotron 2","DeepNN","1","AI","Tacotron 2"
"WaveNet (Linguistic) ","DeepNN","1","AI","WaveNet (Linguistic) "
"Tacotron","DeepNN","1","AI","Tacotron"
"V-Net + Dice-based loss","DeepNN","1","AI","V-Net + Dice-based loss"
"Fully-connected CRF","DeepNN","1","AI","Fully-connected CRF"
"U-Net","DeepNN","1","AI","U-Net"
"LiviaNet (SemiDenseNet)","DeepNN","1","AI","LiviaNet (SemiDenseNet)"
"R2U-Net","DeepNN","1","AI","R2U-Net"
"Residual U-Net","DeepNN","1","AI","Residual U-Net"
"Att U-Net","DeepNN","1","AI","Att U-Net"
"Holistic-nested CNN","DeepNN","1","AI","Holistic-nested CNN"
"Multi-class 3D FCN","DeepNN","1","AI","Multi-class 3D FCN"
"LadderNet","DeepNN","1","AI","LadderNet"
"InputCascadeCNN","DeepNN","1","AI","InputCascadeCNN"
"CNN + 3D filters","DeepNN","1","AI","CNN + 3D filters"
"U-Net + more filters + data augmentation + dice-loss","DeepNN","1","AI","U-Net + more filters + data augmentation + dice-loss"
"AFN-6","DeepNN","1","AI","AFN-6"
"Multi-Scale 3D + FC-CRF","DeepNN","1","AI","Multi-Scale 3D + FC-CRF"
"Automatic skin lesion segmentation with fully convolutional-deconvolutional networks","DeepNN","1","AI","Automatic skin lesion segmentation with fully convolutional-deconvolutional networks"
"Attn U-Net + Multi-Input + FTL","DeepNN","1","AI","Attn U-Net + Multi-Input + FTL"
"U-Net + FTL","DeepNN","1","AI","U-Net + FTL"
"Attn U-Net + DL","DeepNN","1","AI","Attn U-Net + DL"
"HyperDenseNet","DeepNN","1","AI","HyperDenseNet"
"GraphConv + dummy super node","DeepNN","1","AI","GraphConv + dummy super node"
"GraphConv","DeepNN","1","AI","GraphConv"
"MPNNs","DeepNN","1","AI","MPNNs"
"Gated Graph Sequence NN","DeepNN","1","AI","Gated Graph Sequence NN"
"Molecular Graph Convolutions","DeepNN","1","AI","Molecular Graph Convolutions"
"SNN","DeepNN","1","AI","SNN"
"GraphConv + dummy super node + focal loss","DeepNN","1","AI","GraphConv + dummy super node + focal loss"
"FRAGE + AWD-LSTM-MoS + dynamic eval ","DeepNN","1","AI","FRAGE + AWD-LSTM-MoS + dynamic eval "
"AWD-LSTM-DOC x5","DeepNN","1","AI","AWD-LSTM-DOC x5"
