"task","task_is","weight","hierarchy_belongs","source","Description"
"Sketch","AI task","1","Computer Vision","paperswithcode",""
"Autonomous Vehicles","AI task","1","Computer Vision","paperswithcode","Autonomous vehicles is the task of making a vehicle that can guide itself without human conduction.

Many of the state-of-the-art results can be found at more general task pages such as [3D Object Detection](https:paperswithcode.comtask3d-object-detection) and [Semantic Segmentation](https:paperswithcode.comtasksemantic-segmentation)."
"Facial Recognition and Modelling","AI task","1","Computer Vision","paperswithcode","Facial tasks in machine learning operate based on images or video frames (or other datasets) focussed on human faces."
"Super Resolution","AI task","1","Computer Vision","paperswithcode","Super resolution is the task of taking an input of a low resolution (LR) and upscaling it to that of a high resolution."
"Link Prediction","AI task","1","Graphs","paperswithcode","Link prediction is a task to estimate the probability of links between nodes in a graph."
"Machine Translation","AI task","1","Natural Language Processing","paperswithcode","Machine translation is the task of translating a sentence in a source language to a different target language."
"Trajectory Prediction","AI task","1","Computer Vision","paperswithcode",""
"ShapeNet Car","Novel View Synthesis","1","Computer Vision","paperswithcode","Synthesize a target image with an arbitrary target camera pose from given source images and their camera poses."
"ShapeNet Chair","Novel View Synthesis","1","Computer Vision","paperswithcode","Synthesize a target image with an arbitrary target camera pose from given source images and their camera poses."
"Synthia Novel View Synthesis","Novel View Synthesis","1","Computer Vision","paperswithcode","Synthesize a target image with an arbitrary target camera pose from given source images and their camera poses."
"KITTI Novel View Synthesis","Novel View Synthesis","1","Computer Vision","paperswithcode","Synthesize a target image with an arbitrary target camera pose from given source images and their camera poses."
"OCHuman","Human Instance Segmentation","1","Computer Vision","paperswithcode",""
"NYU Depth v2","Instance Segmentation","1","Computer Vision","paperswithcode","Instance segmentation is the task of detecting and delineating each distinct object of interest appearing in an image."
"COCO","Instance Segmentation","1","Computer Vision","paperswithcode","Instance segmentation is the task of detecting and delineating each distinct object of interest appearing in an image."
"EBM-NLP","Participant Intervention Comparison Outcome Extraction","1","Medical","paperswithcode",""
"CARS196","Metric Learning","1","Methodology","paperswithcode",""
"Query Wellformedness","Query Wellformedness","1","Natural Language Processing","paperswithcode",""
"wireframe dataset","Line segment detection","1","Computer Vision","paperswithcode",""
"Criteo","Click-Through Rate Prediction","1","Miscellaneous","paperswithcode","Click-through rate prediction is the task of predicting the likelihood that something on a website (such as an advertisement) will be clicked."
"Amazon","Click-Through Rate Prediction","1","Miscellaneous","paperswithcode","Click-through rate prediction is the task of predicting the likelihood that something on a website (such as an advertisement) will be clicked."
"MovieLens 20M","Click-Through Rate Prediction","1","Miscellaneous","paperswithcode","Click-through rate prediction is the task of predicting the likelihood that something on a website (such as an advertisement) will be clicked."
"Company*","Click-Through Rate Prediction","1","Miscellaneous","paperswithcode","Click-through rate prediction is the task of predicting the likelihood that something on a website (such as an advertisement) will be clicked."
"iPinYou","Click-Through Rate Prediction","1","Miscellaneous","paperswithcode","Click-through rate prediction is the task of predicting the likelihood that something on a website (such as an advertisement) will be clicked."
"Dianping","Click-Through Rate Prediction","1","Miscellaneous","paperswithcode","Click-through rate prediction is the task of predicting the likelihood that something on a website (such as an advertisement) will be clicked."
"Bing News","Click-Through Rate Prediction","1","Miscellaneous","paperswithcode","Click-through rate prediction is the task of predicting the likelihood that something on a website (such as an advertisement) will be clicked."
"Google Street Images","Safety Perception Recognition","1","Computer Vision","paperswithcode","City safety perception recognition"
"MIMIC-III","Mortality Prediction","1","Medical","paperswithcode","Mortality prediction is the task of predicting the mortality of patients. It is important in medical decision support systems in order to prioritise the patients who have a high risk of mortality."
"KITTI Cars Moderate","Birds Eye View Object Detection","1","Computer Vision","paperswithcode","KITTI birds eye view detection task"
"KITTI Cyclists Moderate","Birds Eye View Object Detection","1","Computer Vision","paperswithcode","KITTI birds eye view detection task"
"KITTI Pedestrians Moderate","Birds Eye View Object Detection","1","Computer Vision","paperswithcode","KITTI birds eye view detection task"
"JIGSAWS","Surgical Skills Evaluation","1","Medical","paperswithcode","The task is to classify surgical skills using data that is recorded during the surgical intervention."
"Citeseer","Node Classification","1","Graphs","paperswithcode","The node classification task is one where the algorithm has to determine the labelling of samples (represented as nodes) by looking at the labels of their neighbours."
"Pubmed","Node Classification","1","Graphs","paperswithcode","The node classification task is one where the algorithm has to determine the labelling of samples (represented as nodes) by looking at the labels of their neighbours."
"Cora","Node Classification","1","Graphs","paperswithcode","The node classification task is one where the algorithm has to determine the labelling of samples (represented as nodes) by looking at the labels of their neighbours."
"Wikipedia","Node Classification","1","Graphs","paperswithcode","The node classification task is one where the algorithm has to determine the labelling of samples (represented as nodes) by looking at the labels of their neighbours."
"NELL","Node Classification","1","Graphs","paperswithcode","The node classification task is one where the algorithm has to determine the labelling of samples (represented as nodes) by looking at the labels of their neighbours."
"BlogCatalog","Node Classification","1","Graphs","paperswithcode","The node classification task is one where the algorithm has to determine the labelling of samples (represented as nodes) by looking at the labels of their neighbours."
"SLAM 2018","Language Acquisition","1","Natural Language Processing","paperswithcode",""
"MS MARCO","Passage Re-Ranking","1","Natural Language Processing","paperswithcode",""
"Mini-ImageNet - 5-Shot Learning","Few-Shot Image Classification","1","Methodology","paperswithcode","Few-shot image classification is the task of doing image classification with only a few examples for each category (typically < 6 examples)."
"OMNIGLOT - 5-Shot Learning","Few-Shot Image Classification","1","Methodology","paperswithcode","Few-shot image classification is the task of doing image classification with only a few examples for each category (typically < 6 examples)."
"OMNIGLOT - 1-Shot Learning","Few-Shot Image Classification","1","Methodology","paperswithcode","Few-shot image classification is the task of doing image classification with only a few examples for each category (typically < 6 examples)."
"CUB-200 - 0-Shot Learning","Few-Shot Image Classification","1","Methodology","paperswithcode","Few-shot image classification is the task of doing image classification with only a few examples for each category (typically < 6 examples)."
"Mini-ImageNet - 1-Shot Learning","Few-Shot Image Classification","1","Methodology","paperswithcode","Few-shot image classification is the task of doing image classification with only a few examples for each category (typically < 6 examples)."
"MHP v2.0","Multi-Human Parsing","1","Computer Vision","paperswithcode","Multi-human parsing is the task of parsing multiple humans in crowded scenes."
"PASCAL-Person-Part","Multi-Human Parsing","1","Computer Vision","paperswithcode","Multi-human parsing is the task of parsing multiple humans in crowded scenes."
"MHP v1.0","Multi-Human Parsing","1","Computer Vision","paperswithcode","Multi-human parsing is the task of parsing multiple humans in crowded scenes."
"Chinese License Plates","License Plate Recognition","1","Computer Vision","paperswithcode",""
"PanoContext","3D Room Layouts From A Single Rgb Panorama","1","Computer Vision","paperswithcode",""
"Stanford 2D-3D","3D Room Layouts From A Single Rgb Panorama","1","Computer Vision","paperswithcode",""
"Realtor360","3D Room Layouts From A Single Rgb Panorama","1","Computer Vision","paperswithcode",""
"Scan2CAD","3D Reconstruction","1","Computer Vision","paperswithcode",""
"WikiSQL","SQL-to-Text","1","Computer Code","paperswithcode",""
"BUCC French-to-English","Cross-Lingual Bitext Mining","1","Natural Language Processing","paperswithcode",""
"BUCC German-to-English","Cross-Lingual Bitext Mining","1","Natural Language Processing","paperswithcode",""
"RVL-CDIP","Document Image Classification","1","Computer Vision","paperswithcode","Document image classification is the task of classifying documents based on images of their contents."
"STL-10","Unsupervised image classification","1","Computer Vision","paperswithcode","Models that learn to label each image (i.e. cluster the dataset into its ground truth classes) without seeing the ground truth labels."
"CIFAR-10","Unsupervised image classification","1","Computer Vision","paperswithcode","Models that learn to label each image (i.e. cluster the dataset into its ground truth classes) without seeing the ground truth labels."
"CIFAR-20","Unsupervised image classification","1","Computer Vision","paperswithcode","Models that learn to label each image (i.e. cluster the dataset into its ground truth classes) without seeing the ground truth labels."
"MNIST","Unsupervised image classification","1","Computer Vision","paperswithcode","Models that learn to label each image (i.e. cluster the dataset into its ground truth classes) without seeing the ground truth labels."
"Sequential MNIST","Sequential Image Classification","1","Computer Vision","paperswithcode","Sequential image classification is the task of classifying a sequence of images."
"Pavia University","Hyperspectral Image Classification","1","Computer Vision","paperswithcode","Hyperspectral image classification is the task of classifying a class label to every pixel in an image that was captured using (hyper)spectral sensors."
"Indian Pines","Hyperspectral Image Classification","1","Computer Vision","paperswithcode","Hyperspectral image classification is the task of classifying a class label to every pixel in an image that was captured using (hyper)spectral sensors."
"NABirds","Fine-Grained Image Classification","1","Computer Vision","paperswithcode","The Fine-Grained Image Classification task focuses on differentiating between hard-to-distinguish object classes, such as species of birds, flowers, or animals; and identifying the makes or models of vehicles."
"Oxford 102 Flowers","Fine-Grained Image Classification","1","Computer Vision","paperswithcode","The Fine-Grained Image Classification task focuses on differentiating between hard-to-distinguish object classes, such as species of birds, flowers, or animals; and identifying the makes or models of vehicles."
"Caltech-101","Fine-Grained Image Classification","1","Computer Vision","paperswithcode","The Fine-Grained Image Classification task focuses on differentiating between hard-to-distinguish object classes, such as species of birds, flowers, or animals; and identifying the makes or models of vehicles."
"FGVC Aircraft","Fine-Grained Image Classification","1","Computer Vision","paperswithcode","The Fine-Grained Image Classification task focuses on differentiating between hard-to-distinguish object classes, such as species of birds, flowers, or animals; and identifying the makes or models of vehicles."
"Stanford Cars","Fine-Grained Image Classification","1","Computer Vision","paperswithcode","The Fine-Grained Image Classification task focuses on differentiating between hard-to-distinguish object classes, such as species of birds, flowers, or animals; and identifying the makes or models of vehicles."
"CompCars","Fine-Grained Image Classification","1","Computer Vision","paperswithcode","The Fine-Grained Image Classification task focuses on differentiating between hard-to-distinguish object classes, such as species of birds, flowers, or animals; and identifying the makes or models of vehicles."
"Oxford-IIIT Pets","Fine-Grained Image Classification","1","Computer Vision","paperswithcode","The Fine-Grained Image Classification task focuses on differentiating between hard-to-distinguish object classes, such as species of birds, flowers, or animals; and identifying the makes or models of vehicles."
"Stanford Dogs","Fine-Grained Image Classification","1","Computer Vision","paperswithcode","The Fine-Grained Image Classification task focuses on differentiating between hard-to-distinguish object classes, such as species of birds, flowers, or animals; and identifying the makes or models of vehicles."
" CUB-200-2011","Fine-Grained Image Classification","1","Computer Vision","paperswithcode","The Fine-Grained Image Classification task focuses on differentiating between hard-to-distinguish object classes, such as species of birds, flowers, or animals; and identifying the makes or models of vehicles."
"CIFAR-10, 4000 Labels","Semi-Supervised Image Classification","1","Computer Vision","paperswithcode",""
"SVHN, 1000 labels","Semi-Supervised Image Classification","1","Computer Vision","paperswithcode",""
"STL-10","Semi-Supervised Image Classification","1","Computer Vision","paperswithcode",""
"Mini-ImageNet - 5-Shot Learning","Few-Shot Image Classification","1","Computer Vision","paperswithcode","Few-shot image classification is the task of doing image classification with only a few examples for each category (typically < 6 examples)."
"OMNIGLOT - 5-Shot Learning","Few-Shot Image Classification","1","Computer Vision","paperswithcode","Few-shot image classification is the task of doing image classification with only a few examples for each category (typically < 6 examples)."
"OMNIGLOT - 1-Shot Learning","Few-Shot Image Classification","1","Computer Vision","paperswithcode","Few-shot image classification is the task of doing image classification with only a few examples for each category (typically < 6 examples)."
"CUB-200 - 0-Shot Learning","Few-Shot Image Classification","1","Computer Vision","paperswithcode","Few-shot image classification is the task of doing image classification with only a few examples for each category (typically < 6 examples)."
"Mini-ImageNet - 1-Shot Learning","Few-Shot Image Classification","1","Computer Vision","paperswithcode","Few-shot image classification is the task of doing image classification with only a few examples for each category (typically < 6 examples)."
"CIFAR-10","Image Classification","1","Computer Vision","paperswithcode",""
"iNaturalist","Image Classification","1","Computer Vision","paperswithcode",""
"MultiMNIST","Image Classification","1","Computer Vision","paperswithcode",""
"CIFAR-100","Image Classification","1","Computer Vision","paperswithcode",""
"STL-10","Image Classification","1","Computer Vision","paperswithcode",""
"MSRC-21 (per-class)","Image Classification","1","Computer Vision","paperswithcode",""
"MSRC-21 (per-pixel)","Image Classification","1","Computer Vision","paperswithcode",""
"SVHN","Image Classification","1","Computer Vision","paperswithcode",""
"ImageNet","Image Classification","1","Computer Vision","paperswithcode",""
"Fashion-MNIST","Image Classification","1","Computer Vision","paperswithcode",""
"MNIST","Image Classification","1","Computer Vision","paperswithcode",""
"IDHP","Causal Inference","1","Miscellaneous","paperswithcode","Causal inference is the task of drawing a conclusion about a causal connection based on the conditions of the occurrence of an effect."
"METR-LA","Traffic Prediction","1","Time Series","paperswithcode","Traffic prediction is the task of predicting traffic volumes, utilising historical speed and volume data."
"Quora Question Pairs","Paraphrase Identification","1","Natural Language Processing","paperswithcode",""
"Mushroom","Multi-Armed Bandits","1","Miscellaneous","paperswithcode","Multi-armed bandits refer to a task where a fixed amount of resources must be allocated between competing resources that maximizes expected gain. Typically these problems involve an explorationexploitation trade-off."
"Photo-Art-50","Depiction Invariant Object Recognition","1","Computer Vision","paperswithcode","Depiction invariant object recognition is the task of recognising objects irrespective of how they are visually depicted (line drawing, realistic shaded drawing, photograph etc.)."
"ModelNet40","3D Object Recognition","1","Computer Vision","paperswithcode","3D object recognition is the task of recognising objects from 3D data."
"CIHP","Human Part Segmentation","1","Computer Vision","paperswithcode",""
"MHP v2.0","Human Part Segmentation","1","Computer Vision","paperswithcode",""
"CNN  Daily Mail","Extractive Document Summarization","1","Natural Language Processing","paperswithcode",""
"CNN  Daily Mail","Document Summarization","1","Natural Language Processing","paperswithcode",""
"DUC 2004 Task 1","Text Summarization","1","Natural Language Processing","paperswithcode",""
"GigaWord","Text Summarization","1","Natural Language Processing","paperswithcode",""
"MPII Gaze","Gaze Estimation","1","Computer Vision","paperswithcode",""
"RT-GENE","Gaze Estimation","1","Computer Vision","paperswithcode",""
"UT Multi-view","Gaze Estimation","1","Computer Vision","paperswithcode",""
"RE-M5K","Graph Classification","1","Graphs","paperswithcode",""
"D&D","Graph Classification","1","Graphs","paperswithcode",""
"RE-M12K","Graph Classification","1","Graphs","paperswithcode",""
"MUTAG","Graph Classification","1","Graphs","paperswithcode",""
"NCI1","Graph Classification","1","Graphs","paperswithcode",""
"PROTEINS","Graph Classification","1","Graphs","paperswithcode",""
"ENZYMES","Graph Classification","1","Graphs","paperswithcode",""
"COLLAB","Graph Classification","1","Graphs","paperswithcode",""
"IMDb-B","Graph Classification","1","Graphs","paperswithcode",""
"IMDb-M","Graph Classification","1","Graphs","paperswithcode",""
"UNBC-McMaster ShoulderPain dataset","Pain Intensity Regression","1","Methodology","paperswithcode",""
"Penn Treebank","Constituency Parsing","1","Natural Language Processing","paperswithcode","Consituency parsing aims to extract a constituency-based parse tree from a sentence that
represents its syntactic structure according to a [phrase structure grammar](https:en.wikipedia.orgwikiPhrase_structure_grammar).

Example:

                 Sentence (S)
                     |
       +-------------+------------+
       |                          |
     Noun (N)                Verb Phrase (VP)
       |                          |
     John                 +-------+--------+
                          |   "
"LDC2014T12:","Amr Parsing","1","Natural Language Processing","paperswithcode","Each AMR is a single rooted, directed graph. AMRs include PropBank semantic roles, within-sentence coreference, named entities and types, modality, negation, questions, quantities, and so on. [See](https:amr.isi.eduindex.html)."
"Penn Treebank","Chunking","1","Natural Language Processing","paperswithcode","Chunking, also known as shallow parsing, identifies continuous spans of tokens that form syntactic units such as noun phrases or verb phrases.

Example:

| Vinken | , | 61 | years | old |
| --- | ---| --- | --- | --- |
| B-NLP| I-NP | I-NP | I-NP | I-NP |"
"CCGBank","CCG Supertagging","1","Natural Language Processing","paperswithcode","Combinatory Categorical Grammar (CCG; [Steedman, 2000](http:www.citeulike.orggroup14833article8971002)) is a
highly lexicalized formalism. The standard parsing model of [Clark and Curran (2007)](https:www.mitpressjournals.orgdoiabs10.1162coli.2007.33.4.493)
uses over 400 lexical categories (or _supertags_), compared to about 50 part-of-speech tags for typical parsers.

Example:

| Vinken | , | 61 | years | old |
| --- | ---| --- | --- | --- |
| N| , | NN | N | (S[adj]\ NP)\ NP |"
"BSD68 sigma15","Image Denoising","1","Computer Vision","paperswithcode","Image Denoising is the task of removing noise from an image, e.g. the application of Gaussian noise to an image."
"BSD68 sigma25","Image Denoising","1","Computer Vision","paperswithcode","Image Denoising is the task of removing noise from an image, e.g. the application of Gaussian noise to an image."
"BSD68 sigma10","Image Denoising","1","Computer Vision","paperswithcode","Image Denoising is the task of removing noise from an image, e.g. the application of Gaussian noise to an image."
"Urban100 sigma50","Image Denoising","1","Computer Vision","paperswithcode","Image Denoising is the task of removing noise from an image, e.g. the application of Gaussian noise to an image."
"Urban100 sigma70","Image Denoising","1","Computer Vision","paperswithcode","Image Denoising is the task of removing noise from an image, e.g. the application of Gaussian noise to an image."
"BSD68 sigma50","Image Denoising","1","Computer Vision","paperswithcode","Image Denoising is the task of removing noise from an image, e.g. the application of Gaussian noise to an image."
"Urban100 sigma30","Image Denoising","1","Computer Vision","paperswithcode","Image Denoising is the task of removing noise from an image, e.g. the application of Gaussian noise to an image."
"BSD200 sigma50","Image Denoising","1","Computer Vision","paperswithcode","Image Denoising is the task of removing noise from an image, e.g. the application of Gaussian noise to an image."
"BSD68 sigma30","Image Denoising","1","Computer Vision","paperswithcode","Image Denoising is the task of removing noise from an image, e.g. the application of Gaussian noise to an image."
"BSD68 sigma70","Image Denoising","1","Computer Vision","paperswithcode","Image Denoising is the task of removing noise from an image, e.g. the application of Gaussian noise to an image."
"BSD200 sigma30","Image Denoising","1","Computer Vision","paperswithcode","Image Denoising is the task of removing noise from an image, e.g. the application of Gaussian noise to an image."
"BSD200 sigma70","Image Denoising","1","Computer Vision","paperswithcode","Image Denoising is the task of removing noise from an image, e.g. the application of Gaussian noise to an image."
"BSD200 sigma10","Image Denoising","1","Computer Vision","paperswithcode","Image Denoising is the task of removing noise from an image, e.g. the application of Gaussian noise to an image."
"AFLW2000","Head Pose Estimation","1","Computer Vision","paperswithcode","Estimating the head pose of a person is a crucial problem that has a large amount of applications such as aiding in gaze estimation, modeling attention, fitting 3D models to video and performing face alignment."
"BIWI","Head Pose Estimation","1","Computer Vision","paperswithcode","Estimating the head pose of a person is a crucial problem that has a large amount of applications such as aiding in gaze estimation, modeling attention, fitting 3D models to video and performing face alignment."
"T-LESS","6D Pose Estimation","1","Computer Vision","paperswithcode","6D pose estimation is the task of detecting the 6D pose of an object, which include its location and orientation. This is an important task in robotics, where a robotic arm needs to know the location and orientation to detect and move objects in its vicinity successfully.  This allows the robot to operate safely and effectively alongside humans. The awareness of the position and orientation of objects in a scene is sometimes referred to as 6D, where the D stands for degrees of freedom pose."
"YCB-Video","6D Pose Estimation","1","Computer Vision","paperswithcode","6D pose estimation is the task of detecting the 6D pose of an object, which include its location and orientation. This is an important task in robotics, where a robotic arm needs to know the location and orientation to detect and move objects in its vicinity successfully.  This allows the robot to operate safely and effectively alongside humans. The awareness of the position and orientation of objects in a scene is sometimes referred to as 6D, where the D stands for degrees of freedom pose."
"LineMOD","6D Pose Estimation","1","Computer Vision","paperswithcode","6D pose estimation is the task of detecting the 6D pose of an object, which include its location and orientation. This is an important task in robotics, where a robotic arm needs to know the location and orientation to detect and move objects in its vicinity successfully.  This allows the robot to operate safely and effectively alongside humans. The awareness of the position and orientation of objects in a scene is sometimes referred to as 6D, where the D stands for degrees of freedom pose."
"OCCLUSION","6D Pose Estimation","1","Computer Vision","paperswithcode","6D pose estimation is the task of detecting the 6D pose of an object, which include its location and orientation. This is an important task in robotics, where a robotic arm needs to know the location and orientation to detect and move objects in its vicinity successfully.  This allows the robot to operate safely and effectively alongside humans. The awareness of the position and orientation of objects in a scene is sometimes referred to as 6D, where the D stands for degrees of freedom pose."
"OccludedLINEMOD","6D Pose Estimation","1","Computer Vision","paperswithcode","6D pose estimation is the task of detecting the 6D pose of an object, which include its location and orientation. This is an important task in robotics, where a robotic arm needs to know the location and orientation to detect and move objects in its vicinity successfully.  This allows the robot to operate safely and effectively alongside humans. The awareness of the position and orientation of objects in a scene is sometimes referred to as 6D, where the D stands for degrees of freedom pose."
"COCO","Keypoint Detection","1","Computer Vision","paperswithcode","Keypoint detection involves simultaneously detecting people and localizing their keypoints. Keypoints are the same thing as interest points. They are spatial locations, or points in the image that define what is interesting or what stand out in the image. They are invariant to image rotation, shrinkage, translation, distortion, and so on."
" Pascal3D+","Keypoint Detection","1","Computer Vision","paperswithcode","Keypoint detection involves simultaneously detecting people and localizing their keypoints. Keypoints are the same thing as interest points. They are spatial locations, or points in the image that define what is interesting or what stand out in the image. They are invariant to image rotation, shrinkage, translation, distortion, and so on."
"ICVL Hands","Hand Pose Estimation","1","Computer Vision","paperswithcode","Hand pose estimation is the task of finding the joints of the hand from an image or set of video frames."
"MSRA Hands","Hand Pose Estimation","1","Computer Vision","paperswithcode","Hand pose estimation is the task of finding the joints of the hand from an image or set of video frames."
"HANDS 2017","Hand Pose Estimation","1","Computer Vision","paperswithcode","Hand pose estimation is the task of finding the joints of the hand from an image or set of video frames."
"NYU Hands","Hand Pose Estimation","1","Computer Vision","paperswithcode","Hand pose estimation is the task of finding the joints of the hand from an image or set of video frames."
"COCO","Multi-Person Pose Estimation","1","Computer Vision","paperswithcode","Multi-person pose estimation is the task of estimating the pose of multiple people in one frame."
"WAF","Multi-Person Pose Estimation","1","Computer Vision","paperswithcode","Multi-person pose estimation is the task of estimating the pose of multiple people in one frame."
"MPII Multi-Person","Multi-Person Pose Estimation","1","Computer Vision","paperswithcode","Multi-person pose estimation is the task of estimating the pose of multiple people in one frame."
"CHALL H80K","3D Human Pose Estimation","1","Computer Vision","paperswithcode","3D Human Pose Estimation is the task of estimating the pose of a human from a picture or set of video frames."
"Human3.6M","3D Human Pose Estimation","1","Computer Vision","paperswithcode","3D Human Pose Estimation is the task of estimating the pose of a human from a picture or set of video frames."
"DensePose-COCO","Pose Estimation","1","Computer Vision","paperswithcode","Pose Estimation is a general problem in Computer Vision where we detect the position and orientation of an object."
"FLIC Elbows","Pose Estimation","1","Computer Vision","paperswithcode","Pose Estimation is a general problem in Computer Vision where we detect the position and orientation of an object."
" ITOP front-view","Pose Estimation","1","Computer Vision","paperswithcode","Pose Estimation is a general problem in Computer Vision where we detect the position and orientation of an object."
"ITOP top-view","Pose Estimation","1","Computer Vision","paperswithcode","Pose Estimation is a general problem in Computer Vision where we detect the position and orientation of an object."
"FLIC Wrists","Pose Estimation","1","Computer Vision","paperswithcode","Pose Estimation is a general problem in Computer Vision where we detect the position and orientation of an object."
"MPII Human Pose","Pose Estimation","1","Computer Vision","paperswithcode","Pose Estimation is a general problem in Computer Vision where we detect the position and orientation of an object."
"Leeds Sports Poses","Pose Estimation","1","Computer Vision","paperswithcode","Pose Estimation is a general problem in Computer Vision where we detect the position and orientation of an object."
"COCO","Pose Estimation","1","Computer Vision","paperswithcode","Pose Estimation is a general problem in Computer Vision where we detect the position and orientation of an object."
"The ARRAU Corpus","Abstract Anaphora Resolution","1","Natural Language Processing","paperswithcode","Abstract Anaphora Resolution aims to resolve nominal expressions (e.g., this result, those two actions) and pronominal expressions (e.g. this, that, it) that refer to abstract-object-antecedents such as facts, events, plans, actions, or situations."
"Data3D-R2N2","3D Object Reconstruction","1","Computer Vision","paperswithcode",""
"SK-LARGE","Object Skeleton Detection","1","Computer Vision","paperswithcode","Object skeleton detection is the task of detecting the skeleton of an object in an image."
"ImageNet VID","Video Object Detection","1","Computer Vision","paperswithcode","Video object detection is the task of detecting objects from a video as opposed to images."
"Barrett’s Esophagus","Medical Object Detection","1","Computer Vision","paperswithcode","Medical object detection is the task of identifying medical-based objects within an image."
"PASCAL VOC 2012, 60 proposals per image","Object Proposal Generation","1","Computer Vision","paperswithcode","Object proposal generation is a preprocessing technique that has been widely used in current object detection pipelines to guide the search of objects and avoid exhaustive sliding window search across images."
"PASCAL VOC 2012","Weakly Supervised Object Detection","1","Computer Vision","paperswithcode","Weakly Supervised Object Detection (WSOD) is the task of training object detectors with only image tag supervisions."
"PASCAL VOC 2007","Weakly Supervised Object Detection","1","Computer Vision","paperswithcode","Weakly Supervised Object Detection (WSOD) is the task of training object detectors with only image tag supervisions."
"ImageNet","Weakly Supervised Object Detection","1","Computer Vision","paperswithcode","Weakly Supervised Object Detection (WSOD) is the task of training object detectors with only image tag supervisions."
"COCO","Weakly Supervised Object Detection","1","Computer Vision","paperswithcode","Weakly Supervised Object Detection (WSOD) is the task of training object detectors with only image tag supervisions."
"KITTI Cars Hard","3D Object Detection","1","Computer Vision","paperswithcode","3D object detection classifies the object category and estimates oriented 3D bounding boxes of physical objects from 3D sensor data."
"KITTI Pedestrians Moderate","3D Object Detection","1","Computer Vision","paperswithcode","3D object detection classifies the object category and estimates oriented 3D bounding boxes of physical objects from 3D sensor data."
"KITTI Cars Moderate","3D Object Detection","1","Computer Vision","paperswithcode","3D object detection classifies the object category and estimates oriented 3D bounding boxes of physical objects from 3D sensor data."
"NYU Depth v2","3D Object Detection","1","Computer Vision","paperswithcode","3D object detection classifies the object category and estimates oriented 3D bounding boxes of physical objects from 3D sensor data."
"KITTI Pedestrians Easy","3D Object Detection","1","Computer Vision","paperswithcode","3D object detection classifies the object category and estimates oriented 3D bounding boxes of physical objects from 3D sensor data."
"SUN-RGBD","3D Object Detection","1","Computer Vision","paperswithcode","3D object detection classifies the object category and estimates oriented 3D bounding boxes of physical objects from 3D sensor data."
"KITTI Pedestrians Hard","3D Object Detection","1","Computer Vision","paperswithcode","3D object detection classifies the object category and estimates oriented 3D bounding boxes of physical objects from 3D sensor data."
"KITTI Cyclists Hard","3D Object Detection","1","Computer Vision","paperswithcode","3D object detection classifies the object category and estimates oriented 3D bounding boxes of physical objects from 3D sensor data."
"KITTI Cyclists Moderate","3D Object Detection","1","Computer Vision","paperswithcode","3D object detection classifies the object category and estimates oriented 3D bounding boxes of physical objects from 3D sensor data."
"KITTI Cars Easy","3D Object Detection","1","Computer Vision","paperswithcode","3D object detection classifies the object category and estimates oriented 3D bounding boxes of physical objects from 3D sensor data."
"KITTI Cyclists Easy","3D Object Detection","1","Computer Vision","paperswithcode","3D object detection classifies the object category and estimates oriented 3D bounding boxes of physical objects from 3D sensor data."
"COCO","Real-Time Object Detection","1","Computer Vision","paperswithcode","Real-time object detection is the task of doing object detection in real-time with fast inference while maintaining a base level of accuracy."
"PASCAL VOC 2007","Real-Time Object Detection","1","Computer Vision","paperswithcode","Real-time object detection is the task of doing object detection in real-time with fast inference while maintaining a base level of accuracy."
"COCO","Object Detection","1","Computer Vision","paperswithcode","Object detection is a computer technology related to computer vision and image processing that deals with detecting instances of semantic objects of a certain class (such as humans, buildings, or cars) in digital images and videos."
"ImageNet Detection","Object Detection","1","Computer Vision","paperswithcode","Object detection is a computer technology related to computer vision and image processing that deals with detecting instances of semantic objects of a certain class (such as humans, buildings, or cars) in digital images and videos."
"PASCAL VOC 2007","Object Detection","1","Computer Vision","paperswithcode","Object detection is a computer technology related to computer vision and image processing that deals with detecting instances of semantic objects of a certain class (such as humans, buildings, or cars) in digital images and videos."
"Sintel-final","Optical Flow Estimation","1","Computer Vision","paperswithcode",""
"Sintel-clean","Optical Flow Estimation","1","Computer Vision","paperswithcode",""
"CoNLL 2003 (English)","Entity Resolution","1","Natural Language Processing","paperswithcode",""
"CoNLL 2012","Coreference Resolution","1","Natural Language Processing","paperswithcode","Coreference resolution is the task of clustering mentions in text that refer to the same underlying real world entities.

Example:

```
               +-----------+
               |           |
I voted for Obama because he was most aligned with my values, she said.
 |                                                 |            |
 +-------------------------------------------------+------------+
```

I, my, and she belong to the same cluster and Obama and he belong to the same cluster."
"VggFace2","Facial Inpainting","1","Computer Vision","paperswithcode","Facial inpainting (or face completion) is the task of generating plausible facial structures for missing pixels in a face image."
"WebFace","Facial Inpainting","1","Computer Vision","paperswithcode","Facial inpainting (or face completion) is the task of generating plausible facial structures for missing pixels in a face image."
"Douban","Collaborative Filtering","1","Miscellaneous","paperswithcode","Collaborative filtering is a recommendation system that uses users past behaviour (items previously purchased or selected andor numerical ratings given to those items) as well as similar decisions made by other users. This model is then used to predict items (or ratings for items) that the user may have an interest in."
"Netflix","Collaborative Filtering","1","Miscellaneous","paperswithcode","Collaborative filtering is a recommendation system that uses users past behaviour (items previously purchased or selected andor numerical ratings given to those items) as well as similar decisions made by other users. This model is then used to predict items (or ratings for items) that the user may have an interest in."
