"agent","task","method","result","metric"
"OHEM","PASCAL VOC 2007","OHEM","78.9","MAP"
"YOLO v2","PASCAL VOC 2007","YOLO v2","78.6","MAP"
"DeNet-101 (skip)","PASCAL VOC 2007","DeNet-101 (skip)","77.1","MAP"
"ResNet-101","PASCAL VOC 2007","ResNet-101","76.4","MAP"
"I+ORE","PASCAL VOC 2007","I+ORE","76.2","MAP"
"FRCN","PASCAL VOC 2007","FRCN","74.2","MAP"
"VGG-16 + KL Loss + var voting + soft-NMS","PASCAL VOC 2007","VGG-16 + KL Loss + var voting + soft-NMS","71.6","MAP"
"FRCN","PASCAL VOC 2007","FRCN","70.0","MAP"
"subCNN","PASCAL VOC 2007","subCNN","68.5","MAP"
"PWC-Net","Sintel-final","PWC-Net","4.6","Average End-Point Error"
"LiteFlowNet","Sintel-final","LiteFlowNet","5.38","Average End-Point Error"
"Spynet","Sintel-final","Spynet","8.36","Average End-Point Error"
"PWC-Net","Sintel-clean","PWC-Net","3.45","Average End-Point Error"
"LiteFlowNet","Sintel-clean","LiteFlowNet","4.54","Average End-Point Error"
"Spynet","Sintel-clean","Spynet","6.64","Average End-Point Error"
"deep joint entity disambiguation w neural attention","CoNLL 2003 (English)","deep joint entity disambiguation w neural attention","92.22","Accuracy"
"(Lee et al., 2017)+ELMo","CoNLL 2012","(Lee et al., 2017)+ELMo","73.0","Avg F1"
"(Lee et al., 2017)+ELMo","CoNLL 2012","(Lee et al., 2017)+ELMo","70.4","Avg F1"
"Lee et al.","CoNLL 2012","Lee et al.","67.2","Avg F1"
"SymmFCNet (Full)","VggFace2","SymmFCNet (Full)","27.81","PSNR"
"SymmFCNet (Full)","WebFace","SymmFCNet (Full)","27.22","PSNR"
"I-CFN","Douban","I-CFN","0.6911","RMSE"
"U-CFN","Douban","U-CFN","0.7049","RMSE"
"GC-MC","Douban","GC-MC","0.734","RMSE"
"Factorized Exchangeable Autoencoder","Douban","Factorized Exchangeable Autoencoder","0.738","RMSE"
"sRGCNN","Douban","sRGCNN","0.801","RMSE"
"DeepRec","Netflix","DeepRec","0.9099","RMSE"
"Factorization with dictionary learning","Netflix","Factorization with dictionary learning","0.934","RMSE"
"Mult-VAE PR","Netflix","Mult-VAE PR","0.351","Recall@20"
"Mult-VAE PR","Netflix","Mult-VAE PR","0.444","Recall@50"
"Mult-DAE","Netflix","Mult-DAE","0.344","Recall@20"
"Mult-DAE","Netflix","Mult-DAE","0.438","Recall@50"
"Factorized Exchangeable Autoencoder","Flixster","Factorized Exchangeable Autoencoder","0.908","RMSE"
"GC-MC","Flixster","GC-MC","0.917","RMSE"
"sRGCNN","Flixster","sRGCNN","0.926","RMSE"
"Sparse FC","MovieLens 10M","Sparse FC","0.769","RMSE"
"CF-NADE","MovieLens 10M","CF-NADE","0.771","RMSE"
"I-CFN","MovieLens 10M","I-CFN","0.7767","RMSE"
"GC-MC","MovieLens 10M","GC-MC","0.777","RMSE"
"I-AutoRec","MovieLens 10M","I-AutoRec","0.782","RMSE"
"U-CFN","MovieLens 10M","U-CFN","0.7954","RMSE"
"Factorization with dictionary learning","MovieLens 10M","Factorization with dictionary learning","0.799","RMSE"
"Mult-VAE PR","Million Song Dataset","Mult-VAE PR","0.266","Recall@20"
"Mult-VAE PR","Million Song Dataset","Mult-VAE PR","0.364","Recall@50"
"Mult-DAE","Million Song Dataset","Mult-DAE","0.266","Recall@20"
"Mult-DAE","Million Song Dataset","Mult-DAE","0.363","Recall@50"
"Factorized Exchangeable Autoencoder","YahooMusic","Factorized Exchangeable Autoencoder","20.0","RMSE"
"GC-MC","YahooMusic","GC-MC","20.5","RMSE"
"Sparse FC","MovieLens 1M","Sparse FC","0.824","RMSE"
"CF-NADE","MovieLens 1M","CF-NADE","0.829","RMSE"
"I-AutoRec","MovieLens 1M","I-AutoRec","0.831","RMSE"
"GC-MC","MovieLens 1M","GC-MC","0.832","RMSE"
"I-CFN","MovieLens 1M","I-CFN","0.8321","RMSE"
"NNMF","MovieLens 1M","NNMF","0.843","RMSE"
"U-CFN","MovieLens 1M","U-CFN","0.8574","RMSE"
"Factorization with dictionary learning","MovieLens 1M","Factorization with dictionary learning","0.866","RMSE"
"GC-MC + feat","MovieLens 100K","GC-MC + feat","0.905","RMSE"
"GC-MC","MovieLens 100K","GC-MC","0.910","RMSE"
"Self-Supervised Exchangeable Model","MovieLens 100K","Self-Supervised Exchangeable Model","0.91","RMSE"
"sRGCNN","MovieLens 100K","sRGCNN","0.929","RMSE"
"GMC","MovieLens 100K","GMC","0.996","RMSE"
"Mult-VAE PR","MovieLens 20M","Mult-VAE PR","0.395","Recall@20"
"Mult-VAE PR","MovieLens 20M","Mult-VAE PR","0.537","Recall@50"
"Mult-DAE","MovieLens 20M","Mult-DAE","0.387","Recall@20"
"Mult-DAE","MovieLens 20M","Mult-DAE","0.524","Recall@50"
"PI-REC","Edge-to-Handbags","PI-REC","0.069","FID"
"PI-REC","Edge-to-Handbags","PI-REC","0.168","LPIPS"
"PI-REC","Edge-to-Shoes","PI-REC","0.015","FID"
"PI-REC","Edge-to-Shoes","PI-REC","0.085","LPIPS"
"Massively Multilingual Sentence Embeddings","MLDoc Zero-Shot English-to-Spanish","Massively Multilingual Sentence Embeddings","77.33","Accuracy"
"MultiCCA + CNN","MLDoc Zero-Shot English-to-Spanish","MultiCCA + CNN","72.50","Accuracy"
"BiLSTM (UN)","MLDoc Zero-Shot English-to-Spanish","BiLSTM (UN)","69.50","Accuracy"
"BiLSTM (Europarl)","MLDoc Zero-Shot English-to-Spanish","BiLSTM (Europarl)","66.65","Accuracy"
"Massively Multilingual Sentence Embeddings","MLDoc Zero-Shot English-to-German","Massively Multilingual Sentence Embeddings","84.78","Accuracy"
"MultiCCA + CNN","MLDoc Zero-Shot English-to-German","MultiCCA + CNN","81.20","Accuracy"
"BiLSTM (Europarl)","MLDoc Zero-Shot English-to-German","BiLSTM (Europarl)","71.83","Accuracy"
"Massively Multilingual Sentence Embeddings","MLDoc Zero-Shot English-to-French","Massively Multilingual Sentence Embeddings","77.95","Accuracy"
"BiLSTM (UN)","MLDoc Zero-Shot English-to-French","BiLSTM (UN)","74.52","Accuracy"
"BiLSTM (Europarl)","MLDoc Zero-Shot English-to-French","BiLSTM (Europarl)","72.83","Accuracy"
"MultiCCA + CNN","MLDoc Zero-Shot English-to-French","MultiCCA + CNN","72.38","Accuracy"
"Text2Vis","COCO 2014","Text2Vis","2.447","DCG"
"RMDL","20NEWS","RMDL","91.21","Accuracy"
"Neural transition-based model","ACE 2005","Neural transition-based model","73.0","F1"
"Neural transition-based model","ACE 2004","Neural transition-based model","73.3","F1"
"Proxyless-G + co","CIFAR-10 Image Classification","Proxyless-G + co","2.08","Percentage error"
"Proxyless-G + co","CIFAR-10 Image Classification","Proxyless-G + co","5.7M","Parameters"
"AmoebaNet-B + co","CIFAR-10 Image Classification","AmoebaNet-B + co","2.13","Percentage error"
"AmoebaNet-B + co","CIFAR-10 Image Classification","AmoebaNet-B + co","34.9M","Parameters"
"PathLevel EAS + co","CIFAR-10 Image Classification","PathLevel EAS + co","2.30","Percentage error"
"PathLevel EAS + co","CIFAR-10 Image Classification","PathLevel EAS + co","14.3M","Parameters"
"NASNet-A + co","CIFAR-10 Image Classification","NASNet-A + co","2.40","Percentage error"
"NASNet-A + co","CIFAR-10 Image Classification","NASNet-A + co","27.6M","Parameters"
"DARTS + co","CIFAR-10 Image Classification","DARTS + co","2.83","Percentage error"
"DARTS + co","CIFAR-10 Image Classification","DARTS + co","3.4M","Parameters"
"ENAS + co","CIFAR-10 Image Classification","ENAS + co","2.89","Percentage error"
"ENAS + co","CIFAR-10 Image Classification","ENAS + co","4.6M","Parameters"
"IAFN","VisDA2017","IAFN","76.1","Accuracy"
"IAFN+ENT","Office-31","IAFN+ENT","87.1","Accuracy"
"IAFN+ENT","ImageCLEF-DA","IAFN+ENT","88.9","Accuracy"
"AdaSent","SUBJ","AdaSent","95.50","Accuracy"
"CNN+MCFA","SUBJ","CNN+MCFA","94.80","Accuracy"
"Byte mLSTM","SUBJ","Byte mLSTM","94.60","Accuracy"
"USE","SUBJ","USE","93.90","Accuracy"
"Capsule-B ","SUBJ","Capsule-B ","93.8","Accuracy"
"Fast Dropout","SUBJ","Fast Dropout","93.60","Accuracy"
"SWEM-concat","SUBJ","SWEM-concat","93.0","Accuracy"
"GRU-RNN-GLOVE","SUBJ","GRU-RNN-GLOVE","91.85","Accuracy"
"DELF+FT+ATT+DIR+QE","Oxf105k","DELF+FT+ATT+DIR+QE","88.5","MAP"
"DIR+QE*","Oxf105k","DIR+QE*","87.8","MAP"
"DELF+FT+ATT","Oxf105k","DELF+FT+ATT","82.6","MAP"
"siaMAC+QE*","Oxf105k","siaMAC+QE*","77.9","MAP"
"ABE-8-512","Stanford Cars","ABE-8-512","96.1","Recall@8"
"DELF+FT+ATT+DIR+QE","Par6k","DELF+FT+ATT+DIR+QE","95.7","Accuracy"
"DIR+QE*","Par6k","DIR+QE*","93.8","Accuracy"
"siaMAC+QE*","Par6k","siaMAC+QE*","85.6","Accuracy"
"DELF+FT+ATT","Par6k","DELF+FT+ATT","85.0","Accuracy"
"DELF+FT+ATT+DIR+QE","Par106k","DELF+FT+ATT+DIR+QE","92.8","Accuracy"
"DIR+QE*","Par106k","DIR+QE*","90.5","Accuracy"
"DELF+FT+ATT","Par106k","DELF+FT+ATT","81.7","Accuracy"
"siaMAC+QE*","Par106k","siaMAC+QE*","78.3","Accuracy"
"DELF+FT+ATT+DIR+QE","Oxf5k","DELF+FT+ATT+DIR+QE","90.0","MAP"
"DIR+QE*","Oxf5k","DIR+QE*","89","MAP"
"DELF+FT+ATT","Oxf5k","DELF+FT+ATT","83.8","MAP"
"siaMAC+QE*","Oxf5k","siaMAC+QE*","82.9","MAP"
"Anserini BM25+RM3","TREC Robust04","Anserini BM25+RM3","0.302","MAP"
"SNRM-PRF","TREC Robust04","SNRM-PRF","0.2971","MAP"
"NPRF-DRMM","TREC Robust04","NPRF-DRMM","0.2904","MAP"
"SNRM","TREC Robust04","SNRM","0.2856","MAP"
"NPRF-KNRM","TREC Robust04","NPRF-KNRM","0.2846","MAP"
"FNRM-RankProb_Embed","TREC Robust04","FNRM-RankProb_Embed","0.2837","MAP"
"FNRM-Rank_Embed","TREC Robust04","FNRM-Rank_Embed","0.2811","MAP"
"DRMM","TREC Robust04","DRMM","0.279","MAP"
"POSIT-DRMM-MV","TREC Robust04","POSIT-DRMM-MV","0.272","MAP"
"PACRR","TREC Robust04","PACRR","0.258","MAP"
"QL","TREC Robust04","QL","0.2499","MAP"
"KNRM","TREC Robust04","KNRM","0.2464","MAP"
"PSENet-1s","SCUT-CTW1500","PSENet-1s","81.17","F-Measure"
"SLPR","SCUT-CTW1500","SLPR","74.8","F-Measure"
"CTD+TLOC","SCUT-CTW1500","CTD+TLOC","73.4","F-Measure"
"EAST","SCUT-CTW1500","EAST","60.4","F-Measure"
"SegLink","SCUT-CTW1500","SegLink","40.8","F-Measure"
"FOTS","IC15","FOTS","87.99","F-Measure"
"PSENet-1s","IC15","PSENet-1s","87.08","F-Measure"
"SLPR","IC15","SLPR","84.5","F-Measure"
"Corner localization + region segmentation","IC15","Corner localization + region segmentation","84.3","F-Measure"
"FTSN","IC15","FTSN","84.14","F-Measure"
"R2CNN","IC15","R2CNN","82.54","F-Measure"
"EAST","IC15","EAST","80.72","F-Measure"
"WordSup","IC15","WordSup","78.16","F-Measure"
"SSTD","IC15","SSTD","76.91","F-Measure"
"SegLink","IC15","SegLink","75.61","F-Measure"
"PSENet-1s","IC17-MLT","PSENet-1s","72.45","F-Measure"
"FOTS","IC17-MLT","FOTS","67.25","F-Measure"
"Corner Localization + Region Segmentation","IC17-MLT","Corner Localization + Region Segmentation","66.8","F-Measure"
"Bag-of-Words","SARC (pol-unbal)","Bag-of-Words","27.0","Avg F1"
"Bag-of-Bigrams","SARC (pol-bal)","Bag-of-Bigrams","76.5","Accuracy"
"CASCADE","SARC (pol-bal)","CASCADE","74","Accuracy"
"CASCADE","SARC (all-bal)","CASCADE","77","Accuracy"
"Bag-of-Bigrams","SARC (all-bal)","Bag-of-Bigrams","75.8","Accuracy"
"Structural-scaffolds","ACL-ARC","Structural-scaffolds","67.9","F1"
"SciBERT","ACL-ARC","SciBERT","65.8","F1"
"BiLSTM-Attention + ELMo","ACL-ARC","BiLSTM-Attention + ELMo","54.6","F1"
"Feature-rich Random Forest","ACL-ARC","Feature-rich Random Forest","53.0","F1"
"BiLSTM-Attention","ACL-ARC","BiLSTM-Attention","51.8","F1"
"SVM","ACL-ARC","SVM","41.0","F1"
"SciBERT","SciCite","SciBERT","84.99","F1"
"Structural-Scaffolds","SciCite","Structural-Scaffolds","84.0","F1"
"BiLSTM-Attention + ELMo","SciCite","BiLSTM-Attention + ELMo","82.6","F1"
"Feature-Rich Random Forest","SciCite","Feature-Rich Random Forest","79.6","F1"
"Transformer (finetune)","SemEval 2018 Task 1E-c","Transformer (finetune)","56.1","Macro-F1"
"SciBERT","SciCite","SciBERT","84.9","F1"
"BERT","SciCite","BERT","84.4","F1"
"Structural-scaffolds","SciCite","Structural-scaffolds","84","F1"
"BiLSTM-Attention","SciCite","BiLSTM-Attention","77.2","F1"
"Hierarchical Neural Networks","PubMed 20k RCT","Hierarchical Neural Networks","92.60","F1"
"SciBERT (SciVocab)","PubMed 20k RCT","SciBERT (SciVocab)","86.81","F1"
"SciBERT (Base Vocab)","PubMed 20k RCT","SciBERT (Base Vocab)","86.80","F1"
"SciBERT (Base Vocab)","ACL-ARC","SciBERT (Base Vocab)","65.79","F1"
"SciBERT (SciVocab)","ACL-ARC","SciBERT (SciVocab)","65.71","F1"
"Random Forest","ACL-ARC","Random Forest","53.0","F1"
"SciBERT (SciVocab)","Paper Field","SciBERT (SciVocab)","64.07","F1"
"SciBERT (Base Vocab)","Paper Field","SciBERT (Base Vocab)","64.02","F1"
"SciBERT (SciVocab)","ScienceCite","SciBERT (SciVocab)","84.99","F1"
"SciBERT (Base Vocab)","ScienceCite","SciBERT (Base Vocab)","84.43","F1"
"RMDL","WOS-11967","RMDL","91.59","Accuracy"
"HDLTex","WOS-11967","HDLTex","86.07","Accuracy"
"RMDL","WOS-5736","RMDL","93.57","Accuracy"
"HDLTex","WOS-5736","HDLTex","90.93","Accuracy"
"RMDL","WOS-46985","RMDL","90.69","Accuracy"
"HDLTex","WOS-46985","HDLTex","76.58","Accuracy"
"RMDL","Reuters-21578","RMDL","90.69","Accuracy"
"RMDL","IMDb","RMDL","90.79","Accuracy"
"RMDL","20NEWS","RMDL","87.91","Accuracy"
"L MIXED","IMDb","L MIXED","95.68","Accuracy"
"Rules","TREC-50","Rules","2.8","Error"
"SVM","TREC-50","SVM","8.4","Error"
"L MIXED","AG News","L MIXED","4.95","Error"
"ULMFiT","AG News","ULMFiT","5.01","Error"
"DRNN","AG News","DRNN","5.53","Error"
"CNN","AG News","CNN","6.57","Error"
"DPCNN","AG News","DPCNN","6.87","Error"
"EXAM","AG News","EXAM","7","Error"
"SWEM-concat","AG News","SWEM-concat","7.34","Error"
"Capsule-B ","AG News","Capsule-B ","7.4","Error"
"fastText","AG News","fastText","7.5","Error"
"LEAM","AG News","LEAM","7.55","Error"
"CCCapsNet","AG News","CCCapsNet","7.61","Error"
"Balanced+bi-leaf-RNN","AG News","Balanced+bi-leaf-RNN","7.9","Error"
"VDCN","AG News","VDCN","8.67","Error"
"SVDCNN","AG News","SVDCNN","9.45","Error"
"Char-level CNN","AG News","Char-level CNN","9.51","Error"
"Seq2CNN with GWS(50)","AG News","Seq2CNN with GWS(50)","9.64","Error"
"ToWE-SG","AG News","ToWE-SG","14.0","Error"
"USE_T+CNN","TREC-6","USE_T+CNN","1.93","Error"
"ULMFiT","TREC-6","ULMFiT","3.6","Error"
"LSTM-CNN","TREC-6","LSTM-CNN","3.9","Error"
"CNN+MCFA","TREC-6","CNN+MCFA","4","Error"
"TBCNN","TREC-6","TBCNN","4","Error"
"CoVe","TREC-6","CoVe","4.2","Error"
"C-LSTM","TREC-6","C-LSTM","5.4","Error"
"GRU-RNN-GLOVE","TREC-6","GRU-RNN-GLOVE","7","Error"
"Capsule-B ","TREC-6","Capsule-B ","7.2","Error"
"SWEM-aver","TREC-6","SWEM-aver","7.8","Error"
"SGCN","R52","SGCN","94.0","Accuracy"
"Text GCN","R52","Text GCN","93.56","Accuracy"
"SGCN","20NEWS","SGCN","88.5","Accuracy"
"Text GCN","20NEWS","Text GCN","86.34","Accuracy"
"SGCN","Ohsumed","SGCN","68.5","Accuracy"
"Text GCN","Ohsumed","Text GCN","68.36","Accuracy"
"CNN+Lowercased","Ohsumed","CNN+Lowercased","36.2","Accuracy"
"DRNN","Yahoo! Answers","DRNN","76.26","Accuracy"
"EXAM","Yahoo! Answers","EXAM","74.8","Accuracy"
"CCCapsNet","Yahoo! Answers","CCCapsNet","73.85","Accuracy"
"SWEM-concat","Yahoo! Answers","SWEM-concat","73.53","Accuracy"
"FastText","Yahoo! Answers","FastText","72.3","Accuracy"
"Seq2CNN(50)","Yahoo! Answers","Seq2CNN(50)","55.39","Accuracy"
"CCCapsNet","Sogou News","CCCapsNet","97.25","Accuracy"
"SGCN","R8","SGCN","97.2","Accuracy"
"Text GCN","R8","Text GCN","97.07","Accuracy"
"L MIXED","DBpedia","L MIXED","0.7","Error"
"ULMFiT","DBpedia","ULMFiT","0.80","Error"
"DRNN","DBpedia","DRNN","0.81","Error"
"CNN","DBpedia","CNN","0.84","Error"
"DPCNN","DBpedia","DPCNN","0.88","Error"
"LEAM","DBpedia","LEAM","0.98","Error"
"EXAM","DBpedia","EXAM","1","Error"
"M-ACNN","DBpedia","M-ACNN","1.07","Error"
"Balanced+bi-leaf-RNN","DBpedia","Balanced+bi-leaf-RNN","1.2","Error"
"CCCapsNet","DBpedia","CCCapsNet","1.28","Error"
"VDCN","DBpedia","VDCN","1.29","Error"
"FastText","DBpedia","FastText","1.4","Error"
"SWEM-concat","DBpedia","SWEM-concat","1.43","Error"
"Char-level CNN","DBpedia","Char-level CNN","1.55","Error"
"Seq2CNN(50)","DBpedia","Seq2CNN(50)","2.77","Error"
"RESIDE","New York Times Corpus","RESIDE","73.6","P@10%"
"RESIDE","New York Times Corpus","RESIDE","59.5","P@30%"
"PCNN+ATT","New York Times Corpus","PCNN+ATT","69.4","P@10%"
"PCNN+ATT","New York Times Corpus","PCNN+ATT","51.8","P@30%"
"MIML-RE","New York Times Corpus","MIML-RE","60.7","P@10%"
"MultiR","New York Times Corpus","MultiR","60.9","P@10%"
"Lattice","MSRA","Lattice","93.18","F1"
"Lattice","OntoNotes 4","Lattice","73.88","F1"
"Lattice","Weibo NER","Lattice","58.79","F1"
"BiLSTM+CRF+adversarial+self-attention","Weibo NER","BiLSTM+CRF+adversarial+self-attention","53.08","F1"
"Lattice","Resume NER","Lattice","94.46","F1"
"BiLSTM+CRF+adversarial+self-attention","SighanNER","BiLSTM+CRF+adversarial+self-attention","90.64","F1"
"Flair embeddings","Long-tail emerging entities","Flair embeddings","50.20","F1"
"Aguilar et al.","Long-tail emerging entities","Aguilar et al.","45.55","F1"
"Aguilar et al.","Long-tail emerging entities","Aguilar et al.","40.24","F1 (surface form)"
"SpinningBytes","Long-tail emerging entities","SpinningBytes","40.78","F1"
"SpinningBytes","Long-tail emerging entities","SpinningBytes","39.33","F1 (surface form)"
"CNN Large + fine-tune","CoNLL 2003 (English)","CNN Large + fine-tune","93.5","F1"
"Flair embeddings","CoNLL 2003 (English)","Flair embeddings","93.09","F1"
"BERT Large","CoNLL 2003 (English)","BERT Large","92.8","F1"
"CVT + Multi-Task","CoNLL 2003 (English)","CVT + Multi-Task","92.61","F1"
"BERT Base","CoNLL 2003 (English)","BERT Base","92.4","F1"
"Neural-CRF+AE","CoNLL 2003 (English)","Neural-CRF+AE","92.29","F1"
"BiLSTM-CRF+ELMo","CoNLL 2003 (English)","BiLSTM-CRF+ELMo","92.22","F1"
"LD-Net","CoNLL 2003 (English)","LD-Net","92.03","F1"
"TagLM","CoNLL 2003 (English)","TagLM","91.93","F1"
"CRF + AutoEncoder","CoNLL 2003 (English)","CRF + AutoEncoder","91.87","F1"
"S-LSTM","CoNLL 2003 (English)","S-LSTM","91.57","F1"
"LSTM with dynamic skip","CoNLL 2003 (English)","LSTM with dynamic skip","91.56","F1"
"HSCRF","CoNLL 2003 (English)","HSCRF","91.38","F1"
"NCRF++","CoNLL 2003 (English)","NCRF++","91.35","F1"
"Yang et al.","CoNLL 2003 (English)","Yang et al.","91.26","F1"
"LM-LSTM-CRF","CoNLL 2003 (English)","LM-LSTM-CRF","91.24","F1"
"Ma and Hovy","CoNLL 2003 (English)","Ma and Hovy","91.21","F1"
"LSTM-CRF","CoNLL 2003 (English)","LSTM-CRF","90.94","F1"
"SWEM-CRF","CoNLL 2003 (English)","SWEM-CRF","86.28","F1"
"VSL-GG-Hier","CoNLL 2003 (English)","VSL-GG-Hier","84.7","F1"
"Flair embeddings","Ontonotes v5 (English)","Flair embeddings","89.71","F1"
"CVT + Multi-Task","Ontonotes v5 (English)","CVT + Multi-Task","88.81","F1"
"Bi-LSTM-CRF + Lexical Features","Ontonotes v5 (English)","Bi-LSTM-CRF + Lexical Features","87.95","F1"
"BiLSTM-CRF","Ontonotes v5 (English)","BiLSTM-CRF","86.99","F1"
"Iterated Dilated CNN","Ontonotes v5 (English)","Iterated Dilated CNN","86.84","F1"
"Joint Model","Ontonotes v5 (English)","Joint Model","84.04","F1"
"Averaged Perceptron","Ontonotes v5 (English)","Averaged Perceptron","83.45","F1"
"SciBERT (SciVocab)","SciERC","SciBERT (SciVocab)","65.5","F1"
"SciBERT (Base Vocab)","SciERC","SciBERT (Base Vocab)","65.12","F1"
"SCIIE","SciERC","SCIIE","64.20","F1"
"SciBERT (SciVocab)","BC5CDR","SciBERT (SciVocab)","88.94","F1"
"SciBERT (Base Vocab)","BC5CDR","SciBERT (Base Vocab)","88.11","F1"
"CollaboNet","BC5CDR","CollaboNet","87.12","F1"
"CollaboNet","JNLPBA","CollaboNet","78.58","F1"
"SciBERT (SciVocab)","JNLPBA","SciBERT (SciVocab)","75.95","F1"
"SciBERT (Base Vocab)","JNLPBA","SciBERT (Base Vocab)","75.83","F1"
"SciBERT (Base Vocab)","NCBI-disease","SciBERT (Base Vocab)","86.91","F1"
"SciBERT (SciVocab)","NCBI-disease","SciBERT (SciVocab)","86.45","F1"
"MMMU-BA","MOSI","MMMU-BA","82.31","Accuracy"
"bc-LSTM","MOSI","bc-LSTM","80.3","Accuracy"
"MARN","MOSI","MARN","77.1","Accuracy"
"CHFusion","MOSI","CHFusion","76.5","Accuracy"
"Liu et al.","Sentihood","Liu et al.","78.5","Aspect"
"Liu et al.","Sentihood","Liu et al.","91.0","Sentiment"
"Sentic LSTM + TA + SA","Sentihood","Sentic LSTM + TA + SA","78.18","Aspect"
"Sentic LSTM + TA + SA","Sentihood","Sentic LSTM + TA + SA","89.32","Sentiment"
"LSTM-LOC","Sentihood","LSTM-LOC","69.3","Aspect"
"LSTM-LOC","Sentihood","LSTM-LOC","81.9","Sentiment"
"HAPN","SemEval 2014 Task 4 Sub Task 2","HAPN","82.23","Restaurant (Acc)"
"HAPN","SemEval 2014 Task 4 Sub Task 2","HAPN","77.27","Laptop (Acc)"
"SA-LSTM-P","SemEval 2014 Task 4 Sub Task 2","SA-LSTM-P","81.6","Restaurant (Acc)"
"SA-LSTM-P","SemEval 2014 Task 4 Sub Task 2","SA-LSTM-P","75.1","Laptop (Acc)"
"MGAN","SemEval 2014 Task 4 Sub Task 2","MGAN","81.49","Restaurant (Acc)"
"MGAN","SemEval 2014 Task 4 Sub Task 2","MGAN","76.21","Laptop (Acc)"
"LCR-Rot","SemEval 2014 Task 4 Sub Task 2","LCR-Rot","81.34","Restaurant (Acc)"
"LCR-Rot","SemEval 2014 Task 4 Sub Task 2","LCR-Rot","75.24","Laptop (Acc)"
"BBLSTM-SL","SemEval 2014 Task 4 Sub Task 2","BBLSTM-SL","81.3","Restaurant (Acc)"
"BBLSTM-SL","SemEval 2014 Task 4 Sub Task 2","BBLSTM-SL","74.9","Laptop (Acc)"
"MGAN","SemEval 2014 Task 4 Sub Task 2","MGAN","81.25","Restaurant (Acc)"
"MGAN","SemEval 2014 Task 4 Sub Task 2","MGAN","75.39","Laptop (Acc)"
"AOA","SemEval 2014 Task 4 Sub Task 2","AOA","81.20","Restaurant (Acc)"
"AOA","SemEval 2014 Task 4 Sub Task 2","AOA","74.5","Laptop (Acc)"
"PBAN","SemEval 2014 Task 4 Sub Task 2","PBAN","81.16","Restaurant (Acc)"
"PBAN","SemEval 2014 Task 4 Sub Task 2","PBAN","74.12","Laptop (Acc)"
"BILSTM-ATT-G (TSSVAE)","SemEval 2014 Task 4 Sub Task 2","BILSTM-ATT-G (TSSVAE)","81.10","Restaurant (Acc)"
"BILSTM-ATT-G (TSSVAE)","SemEval 2014 Task 4 Sub Task 2","BILSTM-ATT-G (TSSVAE)","75.34","Laptop (Acc)"
"AEN","SemEval 2014 Task 4 Sub Task 2","AEN","80.98","Restaurant (Acc)"
"AEN","SemEval 2014 Task 4 Sub Task 2","AEN","73.51","Laptop (Acc)"
"MemNet","SemEval 2014 Task 4 Sub Task 2","MemNet","80.95","Restaurant (Acc)"
"MemNet","SemEval 2014 Task 4 Sub Task 2","MemNet","72.21","Laptop (Acc)"
"TNet","SemEval 2014 Task 4 Sub Task 2","TNet","80.79","Restaurant (Acc)"
"TNet","SemEval 2014 Task 4 Sub Task 2","TNet","76.01","Laptop (Acc)"
"LSTM+SynATT+TarRep","SemEval 2014 Task 4 Sub Task 2","LSTM+SynATT+TarRep","80.63","Restaurant (Acc)"
"LSTM+SynATT+TarRep","SemEval 2014 Task 4 Sub Task 2","LSTM+SynATT+TarRep","71.94","Laptop (Acc)"
"RAM","SemEval 2014 Task 4 Sub Task 2","RAM","80.23","Restaurant (Acc)"
"RAM","SemEval 2014 Task 4 Sub Task 2","RAM","74.49","Laptop (Acc)"
"IARM","SemEval 2014 Task 4 Sub Task 2","IARM","80.0","Restaurant (Acc)"
"IARM","SemEval 2014 Task 4 Sub Task 2","IARM","73.8","Laptop (Acc)"
"PF-CNN","SemEval 2014 Task 4 Sub Task 2","PF-CNN","79.20","Restaurant (Acc)"
"PF-CNN","SemEval 2014 Task 4 Sub Task 2","PF-CNN","70.06","Laptop (Acc)"
"PRET+MULT","SemEval 2014 Task 4 Sub Task 2","PRET+MULT","79.11","Restaurant (Acc)"
"PRET+MULT","SemEval 2014 Task 4 Sub Task 2","PRET+MULT","71.15","Laptop (Acc)"
"JCI (hops)","SemEval 2014 Task 4 Sub Task 2","JCI (hops)","78.79","Restaurant (Acc)"
"JCI (hops)","SemEval 2014 Task 4 Sub Task 2","JCI (hops)","71.79","Laptop (Acc)"
"IAN","SemEval 2014 Task 4 Sub Task 2","IAN","78.60","Restaurant (Acc)"
"IAN","SemEval 2014 Task 4 Sub Task 2","IAN","72.10","Laptop (Acc)"
"GCAE","SemEval 2014 Task 4 Sub Task 2","GCAE","77.28","Restaurant (Acc)"
"GCAE","SemEval 2014 Task 4 Sub Task 2","GCAE","69.14","Laptop (Acc)"
"ATAE-LSTM ","SemEval 2014 Task 4 Sub Task 2","ATAE-LSTM ","77.20","Restaurant (Acc)"
"ATAE-LSTM ","SemEval 2014 Task 4 Sub Task 2","ATAE-LSTM ","68.70","Laptop (Acc)"
"NP (hops) ","SemEval 2014 Task 4 Sub Task 2","NP (hops) ","75.73","Restaurant (Acc)"
"NP (hops) ","SemEval 2014 Task 4 Sub Task 2","NP (hops) ","72.43","Laptop (Acc)"
