"method","source","description"
"CNN Large + fine-tune","CNN Large + fine-tune","Cloze-driven Pretraining of Self-attention Networks"
"Self-attentive encoder + ELMo","Self-attentive encoder + ELMo","Constituency Parsing with a Self-Attentive Encoder"
"Model combination","Model combination","Improving Neural Parsing by Disentangling Model Combination and Reranking Effects"
"LSTM Encoder-Decoder + LSTM-LM","LSTM Encoder-Decoder + LSTM-LM","Direct Output Connection for a High-Rank Language Model"
"LSTM Encoder-Decoder + LSTM-LM","LSTM Encoder-Decoder + LSTM-LM","An Empirical Study of Building a Strong Baseline for Constituency Parsing"
"In-order","In-order","In-Order Transition-based Constituent Parsing"
"Semi-supervised LSTM-LM","Semi-supervised LSTM-LM","Parsing as Language Modeling"
"Stack-only RNNG","Stack-only RNNG","What Do Recurrent Neural Network Grammars Learn About Syntax?"
"Transformer","Transformer","Attention Is All You Need"
"Semi-supervised LSTM","Semi-supervised LSTM","Grammar as a Foreign Language"
"Self-trained parser","Self-trained parser",""
"RNN Grammar","RNN Grammar","Recurrent Neural Network Grammars"
"Transition-based+improved aligner+ensemble","Transition-based+improved aligner+ensemble","An AMR Aligner Tuned by Transition-based Parser"
"Incremental joint model","Incremental joint model","AMR Parsing with an Incremental Joint Model"
"Transition-based transducer","Transition-based transducer",""
"Imitation learning ","Imitation learning ","Noise reduction and targeted exploration in imitation learning for Abstract Meaning Representation parsing"
"Flair embeddings","Flair embeddings","Contextual String Embeddings for Sequence Labeling"
"JMT","JMT","A Joint Many-Task Model: Growing a Neural Network for Multiple NLP Tasks"
"Low supervision","Low supervision","Deep multi-task learning with low level tasks supervised at lower layers"
"Suzuki and Isozaki","Suzuki and Isozaki",""
"NCRF++","NCRF++","NCRF++: An Open-source Neural Sequence Labeling Toolkit"
"Clark et al.","Clark et al.","Semi-Supervised Sequence Modeling with Cross-View Training"
"Lewis et al.","Lewis et al.","LSTM CCG Parsing"
"Vaswani et al.","Vaswani et al.","Supertagging With LSTMs"
"Xu et al.","Xu et al.",""
"NLRN","NLRN","Non-Local Recurrent Network for Image Restoration"
"MWCNN","MWCNN","Multi-level Wavelet-CNN for Image Restoration"
"DnCNN","DnCNN","Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising"
"FFDNet","FFDNet","FFDNet: Toward a Fast and Flexible Solution for CNN based Image Denoising"
"Deep CNN Denoiser","Deep CNN Denoiser","Learning Deep CNN Denoiser Prior for Image Restoration"
"N3Net","N3Net","Neural Nearest Neighbors Networks"
"Residual Dense Network +","Residual Dense Network +","Residual Dense Network for Image Restoration"
"RED30","RED30","Image Restoration Using Convolutional Auto-encoders with Symmetric Skip Connections"
"RDN+","RDN+","Residual Dense Network for Image Restoration"
"Multi-Loss ResNet50","Multi-Loss ResNet50","Fine-Grained Head Pose Estimation Without Keypoints"
"3DDFA","3DDFA","Face Alignment Across Large Poses: A 3D Solution"
"FAN (12 points)","FAN (12 points)","How far are we from solving the 2D & 3D Face Alignment problem? (and a dataset of 230,000 3D facial landmarks)"
"KEPLER","KEPLER","KEPLER: Keypoint and Pose Estimation of Unconstrained Faces by Learning Efficient H-CNN Regressors"
"RetinaNet+Augmented Autoencoders+ICP","RetinaNet+Augmented Autoencoders+ICP","Implicit 3D Orientation Learning for 6D Object Detection from RGB Images"
"DenseFusion","DenseFusion","DenseFusion: 6D Object Pose Estimation by Iterative Dense Fusion"
"PoseCNN + ICP","PoseCNN + ICP","PoseCNN: A Convolutional Neural Network for 6D Object Pose Estimation in Cluttered Scenes"
"PointFusion","PointFusion","PointFusion: Deep Sensor Fusion for 3D Bounding Box Estimation"
"PoseCNN + DeepIM","PoseCNN + DeepIM","DeepIM: Deep Iterative Matching for 6D Pose Estimation"
"Keypoint detector localization","Keypoint detector localization","Estimating 6D Pose From Localizing Designated Surface Keypoints"
"Single-shot deep CNN","Single-shot deep CNN","Real-Time Seamless Single Shot 6D Object Pose Prediction"
"BB8","BB8","BB8: A Scalable, Accurate, Robust to Partial Occlusion Method for Predicting the 3D Poses of Challenging Objects without Using Depth"
"PoseCNN","PoseCNN","PoseCNN: A Convolutional Neural Network for 6D Object Pose Estimation in Cluttered Scenes"
"SSD-6D","SSD-6D","SSD-6D: Making RGB-based 3D detection and 6D pose estimation great again"
"Fully-connected CRF + geometric check","Fully-connected CRF + geometric check","Global Hypothesis Generation for 6D Object Pose Estimation"
"Point Pair Features","Point Pair Features","Going Further with Point Pair Features"
"HRNet-48","HRNet-48","Deep High-Resolution Representation Learning for Human Pose Estimation"
"HRNet-32","HRNet-32","Deep High-Resolution Representation Learning for Human Pose Estimation"
"ResNet-50","ResNet-50","Simple Baselines for Human Pose Estimation and Tracking"
"Pose Residual Network","Pose Residual Network","MultiPoseNet: Fast Multi-Person Pose Estimation using Pose Residual Network"
"Mask R-CNN + NL blocks (4 in head, 1 in backbone)","Mask R-CNN + NL blocks (4 in head, 1 in backbone)","Non-local Neural Networks"
"Part Affinity Fields","Part Affinity Fields","Realtime Multi-Person 2D Pose Estimation using Part Affinity Fields"
"ConvNet + deformable shape model","ConvNet + deformable shape model","6-DoF Object Pose from Semantic Keypoints"
"StarMap","StarMap","StarMap for Category-Agnostic Keypoint and Viewpoint Estimation"
"CNN + viewpoint estimates","CNN + viewpoint estimates","Viewpoints and Keypoints"
"ConvNet","ConvNet","Do Convnets Learn Correspondence?"
"V2V-PoseNet","V2V-PoseNet","V2V-PoseNet: Voxel-to-Voxel Prediction Network for Accurate 3D Hand and Human Pose Estimation from a Single Depth Map"
"Pose Guidance","Pose Guidance","Pose Guided Structured Region Ensemble Network for Cascaded Hand Pose Estimation"
"Dense Pixel-wise Estimation","Dense Pixel-wise Estimation","Dense 3D Regression for Hand Pose Estimation"
"REN","REN","Region Ensemble Network: Improving Convolutional Network for Hand Pose Estimation"
"DeepPrior++","DeepPrior++","DeepPrior++: Improving Fast and Accurate 3D Hand Pose Estimation"
"DeeperCut","DeeperCut","DeeperCut: A Deeper, Stronger, and Faster Multi-Person Pose Estimation Model"
"DeepCut","DeepCut","DeepCut: Joint Subset Partition and Labeling for Multi Person Pose Estimation"
"Generative Partition Networks","Generative Partition Networks","Generative Partition Networks for Multi-Person Pose Estimation"
"Regional Multi-Person Pose Estimation","Regional Multi-Person Pose Estimation","RMPE: Regional Multi-person Pose Estimation"
"Associative Embedding","Associative Embedding","Associative Embedding: End-to-End Learning for Joint Detection and Grouping"
"Articulated Tracking","Articulated Tracking","ArtTrack: Articulated Multi-person Tracking in the Wild"
"Local Joint-to-Person Association","Local Joint-to-Person Association","Multi-Person Pose Estimation with Local Joint-to-Person Associations"
"ResNet","ResNet","An Integral Pose Regression System for the ECCV2018 PoseTrack Challenge"
"Fully supervised EpipolarPose","Fully supervised EpipolarPose","Self-Supervised Learning of 3D Human Pose using Multi-view Geometry"
"Self supervised EpipolarPose","Self supervised EpipolarPose","Self-Supervised Learning of 3D Human Pose using Multi-view Geometry"
"Neural Body Fitting (NBF)","Neural Body Fitting (NBF)","Neural Body Fitting: Unifying Deep Learning and Model-Based Human Pose and Shape Estimation"
"Weakly Supervised Transfer Learning","Weakly Supervised Transfer Learning","Towards 3D Human Pose Estimation in the Wild: a Weakly-supervised Approach"
"Sequence-to-sequence network ","Sequence-to-sequence network ","Exploiting temporal information for 3D pose estimation"
"Projected-pose belief maps + 2D fusion layers","Projected-pose belief maps + 2D fusion layers","Lifting from the Deep: Convolutional 3D Pose Estimation from a Single Image"
"DensePose + keypoints","DensePose + keypoints","DensePose: Dense Human Pose Estimation In The Wild"
"Stacked Hourglass Networks","Stacked Hourglass Networks","Stacked Hourglass Networks for Human Pose Estimation"
"Convolutional Pose Machines","Convolutional Pose Machines","Convolutional Pose Machines"
"Multi-task learning + viewpoint invariance","Multi-task learning + viewpoint invariance","Towards Viewpoint Invariant 3D Human Pose Estimation"
"Pyramid Residual Modules (PRMs)","Pyramid Residual Modules (PRMs)","Learning Feature Pyramids for Human Pose Estimation"
"Multi-Context Attention","Multi-Context Attention","Multi-Context Attention for Human Pose Estimation"
"DU-Net","DU-Net","Quantized Densely Connected U-Nets for Efficient Landmark Localization"
"Stacked hourglass + Inception-resnet","Stacked hourglass + Inception-resnet","Knowledge-Guided Deep Fractal Neural Networks for Human Pose Estimation"
"Integral Regression","Integral Regression","Integral Human Pose Regression"
"CU-Net","CU-Net","CU-Net: Coupled U-Nets"
"ResNet-152 + intermediate supervision","ResNet-152 + intermediate supervision","DeeperCut: A Deeper, Stronger, and Faster Multi-Person Pose Estimation Model"
"Soft-argmax + contextual information","Soft-argmax + contextual information","Human Pose Regression by Combining Indirect Part Detection and Contextual Information"
"ResNet152","ResNet152","Simple Baselines for Human Pose Estimation and Tracking"
"MR-LSTM","MR-LSTM","A Mention-Ranking Model for Abstract Anaphora Resolution"
"MVD","MVD","Multi-View Silhouette and Depth Decomposition for High Resolution 3D Object Representation"
"Pixel2Mesh","Pixel2Mesh","Pixel2Mesh: Generating 3D Mesh Models from Single RGB Images"
"PSG","PSG","A Point Set Generation Network for 3D Object Reconstruction from a Single Image"
"3D-R2N2","3D-R2N2","3D-R2N2: A Unified Approach for Single and Multi-view 3D Object Reconstruction"
"N3MR","N3MR","Neural 3D Mesh Renderer"
"DeepFlux","DeepFlux","DeepFlux for Skeletons in the Wild"
"Hi-Fi","Hi-Fi","Hi-Fi: Hierarchical Feature Integration for Skeleton Detection"
"FGFA + Seq-NMS","FGFA + Seq-NMS","Flow-Guided Feature Aggregation for Video Object Detection"
"Attention-based model","Attention-based model","Finding a Needle in the Haystack: Attention-Based Classification of High Resolution Microscopy Images"
"Sliding Window","Sliding Window","Detecting Cancer Metastases on Gigapixel Pathology Images"
"Recurrent Pixel Embedding","Recurrent Pixel Embedding","Recurrent Pixel Embedding for Instance Grouping"
"inst-DML","inst-DML","Semantic Instance Segmentation via Deep Metric Learning"
"PCL-OB-G-Ens + FRCNN","PCL-OB-G-Ens + FRCNN","PCL: Proposal Cluster Learning for Weakly Supervised Object Detection"
"OICR-Ens + FRCNN","OICR-Ens + FRCNN","Multiple Instance Detection Network with Online Instance Classifier Refinement"
"Deep Self-Taught Learning","Deep Self-Taught Learning","Deep Self-Taught Learning for Weakly Supervised Object Localization"
"WCCN","WCCN","Weakly Supervised Cascaded Convolutional Networks"
"MSLPD","MSLPD","Few-Example Object Detection with Model Communication"
"WSDDN + context","WSDDN + context","ContextLocNet: Context-Aware Deep Network Models for Weakly Supervised Localization"
"pipeline method","pipeline method","Multi-Evidence Filtering and Fusion for Multi-Label Classification, Object Detection and Semantic Segmentation Based on Weakly Supervised Learning"
"WSDDN-Ens","WSDDN-Ens","Weakly Supervised Deep Detection Networks"
"Self-paced curriculum learning","Self-paced curriculum learning","Bridging Saliency Detection to Weakly Supervised Object Detection Based on Self-paced Curriculum Learning"
"Online Instance Classifier Refinement","Online Instance Classifier Refinement","Multiple Instance Detection Network with Online Instance Classifier Refinement"
"SPNs","SPNs","Soft Proposal Networks for Weakly Supervised Object Localization"
"Deep Feature Maps","Deep Feature Maps","Weakly Supervised Localization using Deep Feature Maps"
"ProNet","ProNet","ProNet: Learning to Propose Object-specific Boxes for Cascaded Neural Networks"
"PointRCNN","PointRCNN","PointRCNN: 3D Object Proposal Generation and Detection from Point Cloud"
"AVOD + Feature Pyramid","AVOD + Feature Pyramid","Joint 3D Proposal Generation and Object Detection from View Aggregation"
"IPOD","IPOD","IPOD: Intensive Point-based Object Detector for Point Cloud"
"PC-CNN-V2","PC-CNN-V2","A General Pipeline for 3D Detection of Vehicles"
"Frustum PointNets","Frustum PointNets","Frustum PointNets for 3D Object Detection from RGB-D Data"
"RoarNet","RoarNet","RoarNet: A Robust 3D Object Detection based on RegiOn Approximation Refinement"
"VoxelNet ","VoxelNet ","VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection"
"VoxelNet","VoxelNet","VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection"
"YOLOv3-tiny","YOLOv3-tiny","YOLOv3: An Incremental Improvement"
"YOLOv2 608x608","YOLOv2 608x608","YOLO9000: Better, Faster, Stronger"
"YOLOv3-416","YOLOv3-416","YOLOv3: An Incremental Improvement"
"YOLO","YOLO","You Only Look Once: Unified, Real-Time Object Detection"
"BlitzNet512 (s4)","BlitzNet512 (s4)","BlitzNet: A Real-Time Deep Network for Scene Understanding"
"BlitzNet512 (s8)","BlitzNet512 (s8)","BlitzNet: A Real-Time Deep Network for Scene Understanding"
"R-FCN","R-FCN","R-FCN: Object Detection via Region-based Fully Convolutional Networks"
"Faster R-CNN","Faster R-CNN","Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks"
"SNIPER","SNIPER","SNIPER: Efficient Multi-Scale Training"
"PANet + ResNeXt-101","PANet + ResNeXt-101","Path Aggregation Network for Instance Segmentation"
"D-RFCN + SNIP","D-RFCN + SNIP","DSOD: Learning Deeply Supervised Object Detectors from Scratch"
"M2Det","M2Det","M2Det: A Single-Shot Object Detector based on Multi-Level Feature Pyramid Network"
"ExtremeNet (MS)","ExtremeNet (MS)","Bottom-up Object Detection by Grouping Extreme and Center Points"
"Cascade R-CNN","Cascade R-CNN","Cascade R-CNN: Delving into High Quality Object Detection"
"RetinaMask + ResNeXt-101-FPN-GN ","RetinaMask + ResNeXt-101-FPN-GN ","RetinaMask: Learning to predict masks improves state-of-the-art single-shot detection for free"
"ResNet-101 + Group Normalization","ResNet-101 + Group Normalization","Group Normalization"
"RefineDet512+","RefineDet512+","Single-Shot Refinement Neural Network for Object Detection"
"GHM-C + GHM-R","GHM-C + GHM-R","Gradient Harmonized Single-stage Detector"
"D-RFCN + ResNet-101 (6 scales)","D-RFCN + ResNet-101 (6 scales)","Deformable Convolutional Networks"
"RetinaNet","RetinaNet","Focal Loss for Dense Object Detection"
"IoU-Net","IoU-Net","Acquisition of Localization Confidence for Accurate Object Detection"
"ResNet-50-FPN Mask R-CNN + KL Loss + var voting + soft-NMS","ResNet-50-FPN Mask R-CNN + KL Loss + var voting + soft-NMS","Bounding Box Regression with Uncertainty for Accurate Object Detection"
"FPN (ResNet101 backbone)","FPN (ResNet101 backbone)","ChainerCV: a Library for Deep Learning in Computer Vision"
"Faster R-CNN + TDM","Faster R-CNN + TDM","Beyond Skip Connections: Top-Down Modulation for Object Detection"
"Faster R-CNN + FPN","Faster R-CNN + FPN","Feature Pyramid Networks for Object Detection"
"Faster R-CNN + box refinement + context + multi-scale testing","Faster R-CNN + box refinement + context + multi-scale testing","Deep Residual Learning for Image Recognition"
"Faster R-CNN","Faster R-CNN","Speedaccuracy trade-offs for modern convolutional object detectors"
"YOLOv3 + Darknet-53","YOLOv3 + Darknet-53","YOLOv3: An Incremental Improvement"
"YOLO v2 + Darknet-19","YOLO v2 + Darknet-19","YOLO9000: Better, Faster, Stronger"
"OverFeat","OverFeat","OverFeat: Integrated Recognition, Localization and Detection using Convolutional Networks"
"CoupleNet","CoupleNet","CoupleNet: Coupling Global Structure with Local Parts for Object Detection"
"SPP (Overfeat-7)","SPP (Overfeat-7)","Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition"
"BlitzNet512 + seg (s8)","BlitzNet512 + seg (s8)","BlitzNet: A Real-Time Deep Network for Scene Understanding"
"OHEM","OHEM","Training Region-based Object Detectors with Online Hard Example Mining"
"YOLO v2","YOLO v2","YOLO9000: Better, Faster, Stronger"
"DeNet-101 (skip)","DeNet-101 (skip)","DeNet: Scalable Real-time Object Detection with Directed Sparse Sampling"
"ResNet-101","ResNet-101","Deep Residual Learning for Image Recognition"
"I+ORE","I+ORE","Random Erasing Data Augmentation"
"FRCN","FRCN","A-Fast-RCNN: Hard Positive Generation via Adversary for Object Detection"
"VGG-16 + KL Loss + var voting + soft-NMS","VGG-16 + KL Loss + var voting + soft-NMS","Bounding Box Regression with Uncertainty for Accurate Object Detection"
"FRCN","FRCN","Fast R-CNN"
"subCNN","subCNN","Subcategory-aware Convolutional Neural Networks for Object Proposals and Detection"
"PWC-Net","PWC-Net","Models Matter, So Does Training: An Empirical Study of CNNs for Optical Flow Estimation"
"LiteFlowNet","LiteFlowNet","LiteFlowNet: A Lightweight Convolutional Neural Network for Optical Flow Estimation"
"Spynet","Spynet","Optical Flow Estimation using a Spatial Pyramid Network"
"deep joint entity disambiguation w neural attention","deep joint entity disambiguation w neural attention","Deep Joint Entity Disambiguation with Local Neural Attention"
"(Lee et al., 2017)+ELMo","(Lee et al., 2017)+ELMo","Higher-Order Coreference Resolution with Coarse-to-Fine Inference"
"(Lee et al., 2017)+ELMo","(Lee et al., 2017)+ELMo","Deep contextualized word representations"
"Lee et al.","Lee et al.","End-to-end Neural Coreference Resolution"
"SymmFCNet (Full)","SymmFCNet (Full)","Learning Symmetry Consistent Deep CNNs for Face Completion"
"I-CFN","I-CFN","Hybrid Recommender System based on Autoencoders"
"U-CFN","U-CFN","Hybrid Recommender System based on Autoencoders"
"GC-MC","GC-MC","Graph Convolutional Matrix Completion"
"Factorized Exchangeable Autoencoder","Factorized Exchangeable Autoencoder","Deep Models of Interactions Across Sets"
"sRGCNN","sRGCNN","Geometric Matrix Completion with Recurrent Multi-Graph Neural Networks"
"DeepRec","DeepRec","Training Deep AutoEncoders for Collaborative Filtering"
"Factorization with dictionary learning","Factorization with dictionary learning","Dictionary Learning for Massive Matrix Factorization"
"Mult-VAE PR","Mult-VAE PR","Variational Autoencoders for Collaborative Filtering"
"Mult-DAE","Mult-DAE","Variational Autoencoders for Collaborative Filtering"
"Sparse FC","Sparse FC","Kernelized Synaptic Weight Matrices"
"CF-NADE","CF-NADE","A Neural Autoregressive Approach to Collaborative Filtering"
"I-AutoRec","I-AutoRec","AutoRec: Autoencoders Meet Collaborative Filtering"
"NNMF","NNMF","Neural Network Matrix Factorization"
"GC-MC + feat","GC-MC + feat","Graph Convolutional Matrix Completion"
"Self-Supervised Exchangeable Model","Self-Supervised Exchangeable Model","Deep Models of Interactions Across Sets"
"GMC","GMC","Matrix Completion on Graphs"
"PI-REC","PI-REC","PI-REC: Progressive Image Reconstruction Network With Edge and Color Domain"
"MultiCCA + CNN","MultiCCA + CNN","A Corpus for Multilingual Document Classification in Eight Languages"
"BiLSTM (UN)","BiLSTM (UN)","A Corpus for Multilingual Document Classification in Eight Languages"
"BiLSTM (Europarl)","BiLSTM (Europarl)","A Corpus for Multilingual Document Classification in Eight Languages"
"Text2Vis","Text2Vis","Picture It In Your Mind: Generating High Level Visual Representations From Textual Descriptions"
"Neural transition-based model","Neural transition-based model","A Neural Transition-based Model for Nested Mention Recognition"
"AmoebaNet-B + co","AmoebaNet-B + co","Regularized Evolution for Image Classifier Architecture Search"
"PathLevel EAS + co","PathLevel EAS + co","Path-Level Network Transformation for Efficient Architecture Search"
"NASNet-A + co","NASNet-A + co","Neural Architecture Search with Reinforcement Learning"
"DARTS + co","DARTS + co","Learning Efficient Convolutional Networks through Network Slimming"
"ENAS + co","ENAS + co","Efficient Neural Architecture Search via Parameter Sharing"
"IAFN","IAFN","Unsupervised Domain Adaptation: An Adaptive Feature Norm Approach"
"IAFN+ENT","IAFN+ENT","Unsupervised Domain Adaptation: An Adaptive Feature Norm Approach"
"AdaSent","AdaSent","Self-Adaptive Hierarchical Sentence Model"
"CNN+MCFA","CNN+MCFA","Translations as Additional Contexts for Sentence Classification"
"Byte mLSTM","Byte mLSTM","Learning to Generate Reviews and Discovering Sentiment"
"USE","USE","Universal Sentence Encoder"
"Capsule-B ","Capsule-B ","Investigating Capsule Networks with Dynamic Routing for Text Classification"
"Fast Dropout","Fast Dropout",""
"SWEM-concat","SWEM-concat","Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms"
"GRU-RNN-GLOVE","GRU-RNN-GLOVE","All-but-the-Top: Simple and Effective Postprocessing for Word Representations"
"DELF+FT+ATT+DIR+QE","DELF+FT+ATT+DIR+QE","Large-Scale Image Retrieval with Attentive Deep Local Features"
"DIR+QE*","DIR+QE*","Deep Image Retrieval: Learning global representations for image search"
"DELF+FT+ATT","DELF+FT+ATT","Large-Scale Image Retrieval with Attentive Deep Local Features"
"siaMAC+QE*","siaMAC+QE*","CNN Image Retrieval Learns from BoW: Unsupervised Fine-Tuning with Hard Examples"
"ABE-8-512","ABE-8-512","Attention-based Ensemble for Deep Metric Learning"
"Anserini BM25+RM3","Anserini BM25+RM3","The Neural Hype and Comparisons Against Weak Baselines"
"SNRM-PRF","SNRM-PRF","From Neural Re-Ranking to Neural Ranking: Learning a Sparse Representation for Inverted Indexing"
"NPRF-DRMM","NPRF-DRMM","NPRF: A Neural Pseudo Relevance Feedback Framework for Ad-hoc Information Retrieval"
"SNRM","SNRM","From Neural Re-Ranking to Neural Ranking: Learning a Sparse Representation for Inverted Indexing"
"NPRF-KNRM","NPRF-KNRM","NPRF: A Neural Pseudo Relevance Feedback Framework for Ad-hoc Information Retrieval"
"FNRM-RankProb_Embed","FNRM-RankProb_Embed","Neural Ranking Models with Weak Supervision"
"FNRM-Rank_Embed","FNRM-Rank_Embed","Neural Ranking Models with Weak Supervision"
"DRMM","DRMM","A Deep Relevance Matching Model for Ad-hoc Retrieval"
"POSIT-DRMM-MV","POSIT-DRMM-MV","Deep Relevance Ranking Using Enhanced Document-Query Interactions"
"PACRR","PACRR","Deep Relevance Ranking Using Enhanced Document-Query Interactions"
"QL","QL","From Neural Re-Ranking to Neural Ranking: Learning a Sparse Representation for Inverted Indexing"
"KNRM","KNRM","NPRF: A Neural Pseudo Relevance Feedback Framework for Ad-hoc Information Retrieval"
"PSENet-1s","PSENet-1s","Shape Robust Text Detection with Progressive Scale Expansion Network"
"SLPR","SLPR","Sliding Line Point Regression for Shape Robust Scene Text Detection"
"CTD+TLOC","CTD+TLOC","Detecting Curve Text in the Wild: New Dataset and New Solution"
"EAST","EAST","EAST: An Efficient and Accurate Scene Text Detector"
"SegLink","SegLink","Detecting Oriented Text in Natural Images by Linking Segments"
"FOTS","FOTS","FOTS: Fast Oriented Text Spotting with a Unified Network"
"Corner localization + region segmentation","Corner localization + region segmentation","Multi-Oriented Scene Text Detection via Corner Localization and Region Segmentation"
"FTSN","FTSN","Fused Text Segmentation Networks for Multi-oriented Scene Text Detection"
"R2CNN","R2CNN","R2CNN: Rotational Region CNN for Orientation Robust Scene Text Detection"
"WordSup","WordSup","WordSup: Exploiting Word Annotations for Character based Text Detection"
"SSTD","SSTD","Single Shot Text Detector with Regional Attention"
"Corner Localization + Region Segmentation","Corner Localization + Region Segmentation","Multi-Oriented Scene Text Detection via Corner Localization and Region Segmentation"
"Bag-of-Words","Bag-of-Words","A Large Self-Annotated Corpus for Sarcasm"
"Bag-of-Bigrams","Bag-of-Bigrams","A Large Self-Annotated Corpus for Sarcasm"
"CASCADE","CASCADE","CASCADE: Contextual Sarcasm Detection in Online Discussion Forums"
"Structural-scaffolds","Structural-scaffolds","Structural Scaffolds for Citation Intent Classification in Scientific Publications"
"SciBERT","SciBERT","SciBERT: Pretrained Contextualized Embeddings for Scientific Text"
"BiLSTM-Attention + ELMo","BiLSTM-Attention + ELMo","Deep contextualized word representations"
"Feature-rich Random Forest","Feature-rich Random Forest","Measuring the Evolution of a Scientific Field through Citation Frames"
"BiLSTM-Attention","BiLSTM-Attention","Hierarchical Attention Networks for Document Classification"
"SVM","SVM","Purpose and Polarity of Citation: Towards NLP-based Bibliometrics"
"Structural-Scaffolds","Structural-Scaffolds","Structural Scaffolds for Citation Intent Classification in Scientific Publications"
"BiLSTM-Attention + ELMo","BiLSTM-Attention + ELMo",""
"Feature-Rich Random Forest","Feature-Rich Random Forest","Measuring the Evolution of a Scientific Field through Citation Frames"
"Transformer (finetune)","Transformer (finetune)","Practical Text Classification With Large Pre-Trained Language Models"
"BERT","BERT","BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding"
"BiLSTM-Attention","BiLSTM-Attention",""
"Hierarchical Neural Networks","Hierarchical Neural Networks","Hierarchical Neural Networks for Sequential Sentence Classification in Medical Scientific Abstracts"
"Random Forest","Random Forest","Measuring the Evolution of a Scientific Field through Citation Frames"
"HDLTex","HDLTex","HDLTex: Hierarchical Deep Learning for Text Classification"
"L MIXED","L MIXED","Revisiting LSTM Networks for Semi-Supervised Text Classification via Mixed Objective Function"
"Rules","Rules","High Accuracy Rule-based Question Classification using Question Syntax and Semantics"
"SVM","SVM",""
"ULMFiT","ULMFiT","Universal Language Model Fine-tuning for Text Classification"
"DRNN","DRNN","Disconnected Recurrent Neural Networks for Text Categorization"
"CNN","CNN","Supervised and Semi-Supervised Text Categorization using LSTM for Region Embeddings"
"DPCNN","DPCNN","Deep Pyramid Convolutional Neural Networks for Text Categorization"
"EXAM","EXAM","Explicit Interaction Model towards Text Classification"
"fastText","fastText","Bag of Tricks for Efficient Text Classification"
"LEAM","LEAM","Joint Embedding of Words and Labels for Text Classification"
"CCCapsNet","CCCapsNet","Compositional coding capsule network with k-means routing for text classification"
"Balanced+bi-leaf-RNN","Balanced+bi-leaf-RNN","On Tree-Based Neural Sentence Modeling"
"VDCN","VDCN","Very Deep Convolutional Networks for Text Classification"
"SVDCNN","SVDCNN","Squeezed Very Deep Convolutional Neural Networks for Text Classification"
"Char-level CNN","Char-level CNN","Character-level Convolutional Networks for Text Classification"
"Seq2CNN with GWS(50)","Seq2CNN with GWS(50)","Abstractive Text Classification Using Sequence-to-convolution Neural Networks"
"ToWE-SG","ToWE-SG","Task-oriented Word Embedding for Text Classification"
"USE_T+CNN","USE_T+CNN","Universal Sentence Encoder"
"LSTM-CNN","LSTM-CNN","Text Classification Improved by Integrating Bidirectional LSTM with Two-dimensional Max Pooling"
"TBCNN","TBCNN","Discriminative Neural Sentence Modeling by Tree-Based Convolution"
"CoVe","CoVe","Learned in Translation: Contextualized Word Vectors"
"C-LSTM","C-LSTM","A C-LSTM Neural Network for Text Classification"
"SWEM-aver","SWEM-aver","Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms"
"SGCN","SGCN","Simplifying Graph Convolutional Networks"
"Text GCN","Text GCN","Graph Convolutional Networks for Text Classification"
"CNN+Lowercased","CNN+Lowercased","On the Role of Text Preprocessing in Neural Network Architectures: An Evaluation Study on Text Categorization and Sentiment Analysis"
"FastText","FastText","Bag of Tricks for Efficient Text Classification"
"Seq2CNN(50)","Seq2CNN(50)","Abstractive Text Classification Using Sequence-to-convolution Neural Networks"
"M-ACNN","M-ACNN","Learning Context-Sensitive Convolutional Filters for Text Processing"
"RESIDE","RESIDE","RESIDE: Improving Distantly-Supervised Neural Relation Extraction using Side Information"
"PCNN+ATT","PCNN+ATT","Neural Relation Extraction with Selective Attention over Instances"
"MIML-RE","MIML-RE",""
"MultiR","MultiR",""
"Lattice","Lattice","Chinese NER Using Lattice LSTM"
"BiLSTM+CRF+adversarial+self-attention","BiLSTM+CRF+adversarial+self-attention","Adversarial Transfer Learning for Chinese Named Entity Recognition with Self-Attention Mechanism"
"Aguilar et al.","Aguilar et al.","Modeling Noisiness to Recognize Named Entities using Multitask Neural Networks on Social Media"
"SpinningBytes","SpinningBytes","Transfer Learning and Sentence Level Features for Named Entity Recognition on Tweets"
"BERT Large","BERT Large","BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding"
"CVT + Multi-Task","CVT + Multi-Task","Semi-Supervised Sequence Modeling with Cross-View Training"
"BERT Base","BERT Base","BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding"
"Neural-CRF+AE","Neural-CRF+AE","Evaluating the Utility of Hand-crafted Features in Sequence Labelling"
"BiLSTM-CRF+ELMo","BiLSTM-CRF+ELMo","Deep contextualized word representations"
"LD-Net","LD-Net","Efficient Contextualized Representation: Language Model Pruning for Sequence Labeling"
"TagLM","TagLM","Semi-supervised sequence tagging with bidirectional language models"
