"name","link","description","date"
"MSLPD","http://arxiv.org/abs/1706.08249v8","Few-Example Object Detection with Model Communication","2017-06-26"
"WSDDN + context","http://arxiv.org/abs/1609.04331v1","ContextLocNet: Context-Aware Deep Network Models for Weakly Supervised Localization","2016-09-14"
"pipeline method","http://arxiv.org/abs/1802.09129v1","Multi-Evidence Filtering and Fusion for Multi-Label Classification, Object Detection and Semantic Segmentation Based on Weakly Supervised Learning","2018-02-26"
"WSDDN-Ens","http://arxiv.org/abs/1511.02853v4","Weakly Supervised Deep Detection Networks","2015-11-09"
"Self-paced curriculum learning","http://arxiv.org/abs/1703.01290v1","Bridging Saliency Detection to Weakly Supervised Object Detection Based on Self-paced Curriculum Learning","2017-03-03"
"Online Instance Classifier Refinement","http://arxiv.org/abs/1704.00138v1","Multiple Instance Detection Network with Online Instance Classifier Refinement","2017-04-01"
"SPNs","http://arxiv.org/abs/1709.01829v1","Soft Proposal Networks for Weakly Supervised Object Localization","2017-09-06"
"Deep Feature Maps","http://arxiv.org/abs/1603.00489v2","Weakly Supervised Localization using Deep Feature Maps","2016-03-01"
"ProNet","http://arxiv.org/abs/1511.03776v3","ProNet: Learning to Propose Object-specific Boxes for Cascaded Neural Networks","2015-11-12"
"PointRCNN","http://arxiv.org/abs/1812.04244v1","PointRCNN: 3D Object Proposal Generation and Detection from Point Cloud","2018-12-11"
"AVOD + Feature Pyramid","http://arxiv.org/abs/1712.02294v4","Joint 3D Proposal Generation and Object Detection from View Aggregation","2017-12-06"
"IPOD","http://arxiv.org/abs/1812.05276v1","IPOD: Intensive Point-based Object Detector for Point Cloud","2018-12-13"
"PC-CNN-V2","http://arxiv.org/abs/1803.00387v1","A General Pipeline for 3D Detection of Vehicles","2018-02-12"
"Frustum PointNets","http://arxiv.org/abs/1711.08488v2","Frustum PointNets for 3D Object Detection from RGB-D Data","2017-11-22"
"RoarNet","http://arxiv.org/abs/1811.03818v1","RoarNet: A Robust 3D Object Detection based on RegiOn Approximation Refinement","2018-11-09"
"VoxelNet ","http://arxiv.org/abs/1711.06396v1","VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection","2017-11-17"
"VoxelNet","http://arxiv.org/abs/1711.06396v1","VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection","2017-11-17"
"YOLOv3-tiny","http://arxiv.org/abs/1804.02767v1","YOLOv3: An Incremental Improvement","2018-04-08"
"YOLOv2 608x608","http://arxiv.org/abs/1612.08242v1","YOLO9000: Better, Faster, Stronger","2016-12-25"
"YOLOv3-416","http://arxiv.org/abs/1804.02767v1","YOLOv3: An Incremental Improvement","2018-04-08"
"YOLO","http://arxiv.org/abs/1506.02640v5","You Only Look Once: Unified, Real-Time Object Detection","2015-06-08"
"BlitzNet512 (s4)","http://arxiv.org/abs/1708.02813v1","BlitzNet: A Real-Time Deep Network for Scene Understanding","2017-08-09"
"BlitzNet512 (s8)","http://arxiv.org/abs/1708.02813v1","BlitzNet: A Real-Time Deep Network for Scene Understanding","2017-08-09"
"R-FCN","http://arxiv.org/abs/1605.06409v2","R-FCN: Object Detection via Region-based Fully Convolutional Networks","2016-05-20"
"Faster R-CNN","http://arxiv.org/abs/1506.01497v3","Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks","2015-06-04"
"SNIPER","http://arxiv.org/abs/1805.09300v3","SNIPER: Efficient Multi-Scale Training","2018-05-23"
"PANet + ResNeXt-101","http://arxiv.org/abs/1803.01534v4","Path Aggregation Network for Instance Segmentation","2018-03-05"
"D-RFCN + SNIP","http://arxiv.org/abs/1708.01241v2","DSOD: Learning Deeply Supervised Object Detectors from Scratch","2017-08-03"
"M2Det","http://arxiv.org/abs/1811.04533v3","M2Det: A Single-Shot Object Detector based on Multi-Level Feature Pyramid Network","2018-11-12"
"ExtremeNet (MS)","http://arxiv.org/abs/1901.08043v2","Bottom-up Object Detection by Grouping Extreme and Center Points","2019-01-23"
"Cascade R-CNN","http://arxiv.org/abs/1712.00726v1","Cascade R-CNN: Delving into High Quality Object Detection","2017-12-03"
"RetinaMask + ResNeXt-101-FPN-GN ","http://arxiv.org/abs/1901.03353v1","RetinaMask: Learning to predict masks improves state-of-the-art single-shot detection for free","2019-01-10"
"ResNet-101 + Group Normalization","http://arxiv.org/abs/1803.08494v3","Group Normalization","2018-03-22"
"RefineDet512+","http://arxiv.org/abs/1711.06897v3","Single-Shot Refinement Neural Network for Object Detection","2017-11-18"
"GHM-C + GHM-R","http://arxiv.org/abs/1811.05181v1","Gradient Harmonized Single-stage Detector","2018-11-13"
"D-RFCN + ResNet-101 (6 scales)","http://arxiv.org/abs/1703.06211v3","Deformable Convolutional Networks","2017-03-17"
"RetinaNet","http://arxiv.org/abs/1708.02002v2","Focal Loss for Dense Object Detection","2017-08-07"
"IoU-Net","http://arxiv.org/abs/1807.11590v1","Acquisition of Localization Confidence for Accurate Object Detection","2018-07-30"
"ResNet-50-FPN Mask R-CNN + KL Loss + var voting + soft-NMS","http://arxiv.org/abs/1809.08545v2","Bounding Box Regression with Uncertainty for Accurate Object Detection","2018-09-23"
"FPN (ResNet101 backbone)","http://arxiv.org/abs/1708.08169v1","ChainerCV: a Library for Deep Learning in Computer Vision","2017-08-28"
"Faster R-CNN + TDM","http://arxiv.org/abs/1612.06851v2","Beyond Skip Connections: Top-Down Modulation for Object Detection","2016-12-20"
"Faster R-CNN + FPN","http://arxiv.org/abs/1612.03144v2","Feature Pyramid Networks for Object Detection","2016-12-09"
"Faster R-CNN + box refinement + context + multi-scale testing","http://arxiv.org/abs/1512.03385v1","Deep Residual Learning for Image Recognition","2015-12-10"
"Faster R-CNN","http://arxiv.org/abs/1611.10012v3","Speedaccuracy trade-offs for modern convolutional object detectors","2016-11-30"
"YOLOv3 + Darknet-53","http://arxiv.org/abs/1804.02767v1","YOLOv3: An Incremental Improvement","2018-04-08"
"YOLO v2 + Darknet-19","http://arxiv.org/abs/1612.08242v1","YOLO9000: Better, Faster, Stronger","2016-12-25"
"OverFeat","http://arxiv.org/abs/1312.6229v4","OverFeat: Integrated Recognition, Localization and Detection using Convolutional Networks","2013-12-21"
"CoupleNet","http://arxiv.org/abs/1708.02863v1","CoupleNet: Coupling Global Structure with Local Parts for Object Detection","2017-08-09"
"SPP (Overfeat-7)","http://arxiv.org/abs/1406.4729v4","Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition","2014-06-18"
"BlitzNet512 + seg (s8)","http://arxiv.org/abs/1708.02813v1","BlitzNet: A Real-Time Deep Network for Scene Understanding","2017-08-09"
"OHEM","http://arxiv.org/abs/1604.03540v1","Training Region-based Object Detectors with Online Hard Example Mining","2016-04-12"
"YOLO v2","http://arxiv.org/abs/1612.08242v1","YOLO9000: Better, Faster, Stronger","2016-12-25"
"DeNet-101 (skip)","http://arxiv.org/abs/1703.10295v3","DeNet: Scalable Real-time Object Detection with Directed Sparse Sampling","2017-03-30"
"ResNet-101","http://arxiv.org/abs/1512.03385v1","Deep Residual Learning for Image Recognition","2015-12-10"
"I+ORE","http://arxiv.org/abs/1708.04896v2","Random Erasing Data Augmentation","2017-08-16"
"FRCN","http://arxiv.org/abs/1704.03414v1","A-Fast-RCNN: Hard Positive Generation via Adversary for Object Detection","2017-04-11"
"VGG-16 + KL Loss + var voting + soft-NMS","http://arxiv.org/abs/1809.08545v2","Bounding Box Regression with Uncertainty for Accurate Object Detection","2018-09-23"
"FRCN","http://arxiv.org/abs/1504.08083v2","Fast R-CNN","2015-04-30"
"subCNN","http://arxiv.org/abs/1604.04693v3","Subcategory-aware Convolutional Neural Networks for Object Proposals and Detection","2016-04-16"
"PWC-Net","http://arxiv.org/abs/1809.05571v1","Models Matter, So Does Training: An Empirical Study of CNNs for Optical Flow Estimation","2018-09-14"
"LiteFlowNet","http://arxiv.org/abs/1805.07036v1","LiteFlowNet: A Lightweight Convolutional Neural Network for Optical Flow Estimation","2018-05-18"
"Spynet","http://arxiv.org/abs/1611.00850v2","Optical Flow Estimation using a Spatial Pyramid Network","2016-11-03"
"deep joint entity disambiguation w neural attention","http://arxiv.org/abs/1704.04920v3","Deep Joint Entity Disambiguation with Local Neural Attention","2017-04-17"
"(Lee et al., 2017)+ELMo","https://aclanthology.coli.uni-saarland.de/papers/N18-2108/n18-2108","Higher-Order Coreference Resolution with Coarse-to-Fine Inference","2018-06-01"
"(Lee et al., 2017)+ELMo","http://arxiv.org/abs/1802.05365v2","Deep contextualized word representations","2018-02-15"
"Lee et al.","http://arxiv.org/abs/1707.07045v2","End-to-end Neural Coreference Resolution","2017-07-21"
"SymmFCNet (Full)","http://arxiv.org/abs/1812.07741v1","Learning Symmetry Consistent Deep CNNs for Face Completion","2018-12-19"
"I-CFN","http://arxiv.org/abs/1606.07659v3","Hybrid Recommender System based on Autoencoders","2016-06-24"
"U-CFN","http://arxiv.org/abs/1606.07659v3","Hybrid Recommender System based on Autoencoders","2016-06-24"
"GC-MC","http://arxiv.org/abs/1706.02263v2","Graph Convolutional Matrix Completion","2017-06-07"
"Factorized Exchangeable Autoencoder","http://arxiv.org/abs/1803.02879v2","Deep Models of Interactions Across Sets","2018-03-07"
"sRGCNN","http://arxiv.org/abs/1704.06803v1","Geometric Matrix Completion with Recurrent Multi-Graph Neural Networks","2017-04-22"
"DeepRec","http://arxiv.org/abs/1708.01715v3","Training Deep AutoEncoders for Collaborative Filtering","2017-08-05"
"Factorization with dictionary learning","http://arxiv.org/abs/1605.00937v2","Dictionary Learning for Massive Matrix Factorization","2016-05-03"
"Mult-VAE PR","http://arxiv.org/abs/1802.05814v1","Variational Autoencoders for Collaborative Filtering","2018-02-16"
"Mult-DAE","http://arxiv.org/abs/1802.05814v1","Variational Autoencoders for Collaborative Filtering","2018-02-16"
"Sparse FC","https://icml.cc/Conferences/2018/Schedule?showEvent=2141","Kernelized Synaptic Weight Matrices","2018-07-01"
"CF-NADE","http://arxiv.org/abs/1605.09477v1","A Neural Autoregressive Approach to Collaborative Filtering","2016-05-31"
"I-AutoRec","https://scholar.google.com/citations?user=z_hDjNYAAAAJ&hl=en&oi=sra","AutoRec: Autoencoders Meet Collaborative Filtering","2015-05-18"
"NNMF","http://arxiv.org/abs/1511.06443v2","Neural Network Matrix Factorization","2015-11-19"
"GC-MC + feat","http://arxiv.org/abs/1706.02263v2","Graph Convolutional Matrix Completion","2017-06-07"
"Self-Supervised Exchangeable Model","http://arxiv.org/abs/1803.02879v2","Deep Models of Interactions Across Sets","2018-03-07"
"GMC","http://arxiv.org/abs/1408.1717v3","Matrix Completion on Graphs","2014-08-07"
"PI-REC","http://arxiv.org/abs/1903.10146v1","PI-REC: Progressive Image Reconstruction Network With Edge and Color Domain","2019-03-25"
"MultiCCA + CNN","http://arxiv.org/abs/1805.09821v1","A Corpus for Multilingual Document Classification in Eight Languages","2018-05-24"
"BiLSTM (UN)","http://arxiv.org/abs/1805.09821v1","A Corpus for Multilingual Document Classification in Eight Languages","2018-05-24"
"BiLSTM (Europarl)","http://arxiv.org/abs/1805.09821v1","A Corpus for Multilingual Document Classification in Eight Languages","2018-05-24"
"Text2Vis","http://arxiv.org/abs/1606.07287v1","Picture It In Your Mind: Generating High Level Visual Representations From Textual Descriptions","2016-06-23"
"Neural transition-based model","http://arxiv.org/abs/1810.01808v1","A Neural Transition-based Model for Nested Mention Recognition","2018-10-03"
"AmoebaNet-B + co","http://arxiv.org/abs/1802.01548v7","Regularized Evolution for Image Classifier Architecture Search","2018-02-05"
"PathLevel EAS + co","http://arxiv.org/abs/1806.02639v1","Path-Level Network Transformation for Efficient Architecture Search","2018-06-07"
"NASNet-A + co","http://arxiv.org/abs/1611.01578v2","Neural Architecture Search with Reinforcement Learning","2016-11-05"
"DARTS + co","http://arxiv.org/abs/1708.06519v1","Learning Efficient Convolutional Networks through Network Slimming","2017-08-22"
"ENAS + co","http://arxiv.org/abs/1802.03268v2","Efficient Neural Architecture Search via Parameter Sharing","2018-02-09"
"IAFN","http://arxiv.org/abs/1811.07456v1","Unsupervised Domain Adaptation: An Adaptive Feature Norm Approach","2018-11-19"
"IAFN+ENT","http://arxiv.org/abs/1811.07456v1","Unsupervised Domain Adaptation: An Adaptive Feature Norm Approach","2018-11-19"
"AdaSent","http://arxiv.org/abs/1504.05070v2","Self-Adaptive Hierarchical Sentence Model","2015-04-20"
"CNN+MCFA","http://arxiv.org/abs/1806.05516v1","Translations as Additional Contexts for Sentence Classification","2018-06-14"
"Byte mLSTM","http://arxiv.org/abs/1704.01444v2","Learning to Generate Reviews and Discovering Sentiment","2017-04-05"
"USE","http://arxiv.org/abs/1803.11175v2","Universal Sentence Encoder","2018-03-29"
"Capsule-B ","http://arxiv.org/abs/1804.00538v4","Investigating Capsule Networks with Dynamic Routing for Text Classification","2018-03-29"
"Fast Dropout","","",""
"SWEM-concat","http://arxiv.org/abs/1805.09843v1","Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms","2018-05-24"
"GRU-RNN-GLOVE","http://arxiv.org/abs/1702.01417v2","All-but-the-Top: Simple and Effective Postprocessing for Word Representations","2017-02-05"
"DELF+FT+ATT+DIR+QE","http://arxiv.org/abs/1612.06321v4","Large-Scale Image Retrieval with Attentive Deep Local Features","2016-12-19"
"DIR+QE*","http://arxiv.org/abs/1604.01325v2","Deep Image Retrieval: Learning global representations for image search","2016-04-05"
"DELF+FT+ATT","http://arxiv.org/abs/1612.06321v4","Large-Scale Image Retrieval with Attentive Deep Local Features","2016-12-19"
"siaMAC+QE*","http://arxiv.org/abs/1604.02426v3","CNN Image Retrieval Learns from BoW: Unsupervised Fine-Tuning with Hard Examples","2016-04-08"
"ABE-8-512","http://arxiv.org/abs/1804.00382v2","Attention-based Ensemble for Deep Metric Learning","2018-04-02"
"Anserini BM25+RM3","https://dl.acm.org/citation.cfm?id=3308781","The Neural Hype and Comparisons Against Weak Baselines","2018-12-01"
"SNRM-PRF","https://dl.acm.org/citation.cfm?id=3271800","From Neural Re-Ranking to Neural Ranking: Learning a Sparse Representation for Inverted Indexing","2018-10-22"
"NPRF-DRMM","http://arxiv.org/abs/1810.12936v1","NPRF: A Neural Pseudo Relevance Feedback Framework for Ad-hoc Information Retrieval","2018-10-30"
"SNRM","https://dl.acm.org/citation.cfm?id=3271800","From Neural Re-Ranking to Neural Ranking: Learning a Sparse Representation for Inverted Indexing","2018-10-22"
"NPRF-KNRM","http://arxiv.org/abs/1810.12936v1","NPRF: A Neural Pseudo Relevance Feedback Framework for Ad-hoc Information Retrieval","2018-10-30"
"FNRM-RankProb_Embed","http://arxiv.org/abs/1704.08803v2","Neural Ranking Models with Weak Supervision","2017-04-28"
"FNRM-Rank_Embed","http://arxiv.org/abs/1704.08803v2","Neural Ranking Models with Weak Supervision","2017-04-28"
"DRMM","http://arxiv.org/abs/1711.08611v1","A Deep Relevance Matching Model for Ad-hoc Retrieval","2017-11-23"
"POSIT-DRMM-MV","http://arxiv.org/abs/1809.01682v2","Deep Relevance Ranking Using Enhanced Document-Query Interactions","2018-09-05"
"PACRR","http://arxiv.org/abs/1809.01682v2","Deep Relevance Ranking Using Enhanced Document-Query Interactions","2018-09-05"
"QL","https://dl.acm.org/citation.cfm?id=3271800","From Neural Re-Ranking to Neural Ranking: Learning a Sparse Representation for Inverted Indexing","2018-10-22"
"KNRM","http://arxiv.org/abs/1810.12936v1","NPRF: A Neural Pseudo Relevance Feedback Framework for Ad-hoc Information Retrieval","2018-10-30"
"PSENet-1s","http://arxiv.org/abs/1806.02559v1","Shape Robust Text Detection with Progressive Scale Expansion Network","2018-06-07"
"SLPR","http://arxiv.org/abs/1801.09969v1","Sliding Line Point Regression for Shape Robust Scene Text Detection","2018-01-30"
"CTD+TLOC","http://arxiv.org/abs/1712.02170v1","Detecting Curve Text in the Wild: New Dataset and New Solution","2017-12-06"
"EAST","http://arxiv.org/abs/1704.03155v2","EAST: An Efficient and Accurate Scene Text Detector","2017-04-11"
"SegLink","http://arxiv.org/abs/1703.06520v3","Detecting Oriented Text in Natural Images by Linking Segments","2017-03-19"
"FOTS","http://arxiv.org/abs/1801.01671v2","FOTS: Fast Oriented Text Spotting with a Unified Network","2018-01-05"
"Corner localization + region segmentation","http://arxiv.org/abs/1802.08948v2","Multi-Oriented Scene Text Detection via Corner Localization and Region Segmentation","2018-02-25"
"FTSN","http://arxiv.org/abs/1709.03272v4","Fused Text Segmentation Networks for Multi-oriented Scene Text Detection","2017-09-11"
"R2CNN","http://arxiv.org/abs/1706.09579v2","R2CNN: Rotational Region CNN for Orientation Robust Scene Text Detection","2017-06-29"
"WordSup","http://arxiv.org/abs/1708.06720v1","WordSup: Exploiting Word Annotations for Character based Text Detection","2017-08-22"
"SSTD","http://arxiv.org/abs/1709.00138v1","Single Shot Text Detector with Regional Attention","2017-09-01"
"Corner Localization + Region Segmentation","http://arxiv.org/abs/1802.08948v2","Multi-Oriented Scene Text Detection via Corner Localization and Region Segmentation","2018-02-25"
"Bag-of-Words","http://arxiv.org/abs/1704.05579v4","A Large Self-Annotated Corpus for Sarcasm","2017-04-19"
"Bag-of-Bigrams","http://arxiv.org/abs/1704.05579v4","A Large Self-Annotated Corpus for Sarcasm","2017-04-19"
"CASCADE","http://arxiv.org/abs/1805.06413v1","CASCADE: Contextual Sarcasm Detection in Online Discussion Forums","2018-05-16"
"Structural-scaffolds","http://arxiv.org/abs/1904.01608v1","Structural Scaffolds for Citation Intent Classification in Scientific Publications","2019-04-02"
"SciBERT","http://arxiv.org/abs/1903.10676v1","SciBERT: Pretrained Contextualized Embeddings for Scientific Text","2019-03-26"
"BiLSTM-Attention + ELMo","http://arxiv.org/abs/1802.05365v2","Deep contextualized word representations","2018-02-15"
"Feature-rich Random Forest","https://aclanthology.coli.uni-saarland.de/papers/Q18-1028/q18-1028","Measuring the Evolution of a Scientific Field through Citation Frames","2018-01-01"
"BiLSTM-Attention","https://aclanthology.coli.uni-saarland.de/papers/N16-1174/n16-1174","Hierarchical Attention Networks for Document Classification","2016-06-01"
"SVM","https://aclanthology.info/papers/N13-1067/n13-1067","Purpose and Polarity of Citation: Towards NLP-based Bibliometrics","2013-06-01"
"Structural-Scaffolds","http://arxiv.org/abs/1904.01608v1","Structural Scaffolds for Citation Intent Classification in Scientific Publications","2019-04-02"
"BiLSTM-Attention + ELMo","","",""
"Feature-Rich Random Forest","https://aclanthology.coli.uni-saarland.de/papers/Q18-1028/q18-1028","Measuring the Evolution of a Scientific Field through Citation Frames","2018-01-01"
"Transformer (finetune)","http://arxiv.org/abs/1812.01207v1","Practical Text Classification With Large Pre-Trained Language Models","2018-12-04"
"BERT","http://arxiv.org/abs/1810.04805v1","BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding","2018-10-11"
"BiLSTM-Attention","","",""
"Hierarchical Neural Networks","http://arxiv.org/abs/1808.06161v1","Hierarchical Neural Networks for Sequential Sentence Classification in Medical Scientific Abstracts","2018-08-19"
"Random Forest","https://aclanthology.coli.uni-saarland.de/papers/Q18-1028/q18-1028","Measuring the Evolution of a Scientific Field through Citation Frames","2018-01-01"
"HDLTex","http://arxiv.org/abs/1709.08267v2","HDLTex: Hierarchical Deep Learning for Text Classification","2017-09-24"
"L MIXED","https://www.semanticscholar.org/paper/Revisiting-LSTM-Networks-for-Semi-Supervised-Text-Sachan-Petuum/c3f89364aecd661eb032840d2fe3efd0f6d1698c","Revisiting LSTM Networks for Semi-Supervised Text Classification via Mixed Objective Function","2019-02-01"
"Rules","https://aclanthology.coli.uni-saarland.de/papers/C16-1116/c16-1116","High Accuracy Rule-based Question Classification using Question Syntax and Semantics","2016-12-01"
"SVM","","",""
"ULMFiT","http://arxiv.org/abs/1801.06146v5","Universal Language Model Fine-tuning for Text Classification","2018-01-18"
"DRNN","https://aclanthology.coli.uni-saarland.de/papers/P18-1215/p18-1215","Disconnected Recurrent Neural Networks for Text Categorization","2018-07-01"
"CNN","http://arxiv.org/abs/1602.02373v2","Supervised and Semi-Supervised Text Categorization using LSTM for Region Embeddings","2016-02-07"
"DPCNN","https://aclanthology.coli.uni-saarland.de/papers/P17-1052/p17-1052","Deep Pyramid Convolutional Neural Networks for Text Categorization","2017-07-01"
"EXAM","http://arxiv.org/abs/1811.09386v1","Explicit Interaction Model towards Text Classification","2018-11-23"
"fastText","http://arxiv.org/abs/1607.01759v3","Bag of Tricks for Efficient Text Classification","2016-07-06"
"LEAM","http://arxiv.org/abs/1805.04174v1","Joint Embedding of Words and Labels for Text Classification","2018-05-10"
"CCCapsNet","http://arxiv.org/abs/1810.09177v3","Compositional coding capsule network with k-means routing for text classification","2018-10-22"
"Balanced+bi-leaf-RNN","http://arxiv.org/abs/1808.09644v1","On Tree-Based Neural Sentence Modeling","2018-08-29"
"VDCN","http://arxiv.org/abs/1606.01781v2","Very Deep Convolutional Networks for Text Classification","2016-06-06"
"SVDCNN","http://arxiv.org/abs/1901.09821v1","Squeezed Very Deep Convolutional Neural Networks for Text Classification","2019-01-28"
"Char-level CNN","http://arxiv.org/abs/1509.01626v3","Character-level Convolutional Networks for Text Classification","2015-09-04"
"Seq2CNN with GWS(50)","http://arxiv.org/abs/1805.07745v4","Abstractive Text Classification Using Sequence-to-convolution Neural Networks","2018-05-20"
"ToWE-SG","https://aclanthology.coli.uni-saarland.de/papers/C18-1172/c18-1172","Task-oriented Word Embedding for Text Classification","2018-08-01"
"USE_T+CNN","http://arxiv.org/abs/1803.11175v2","Universal Sentence Encoder","2018-03-29"
"LSTM-CNN","http://arxiv.org/abs/1611.06639v1","Text Classification Improved by Integrating Bidirectional LSTM with Two-dimensional Max Pooling","2016-11-21"
"TBCNN","http://arxiv.org/abs/1504.01106v5","Discriminative Neural Sentence Modeling by Tree-Based Convolution","2015-04-05"
"CoVe","http://arxiv.org/abs/1708.00107v2","Learned in Translation: Contextualized Word Vectors","2017-08-01"
"C-LSTM","http://arxiv.org/abs/1511.08630v2","A C-LSTM Neural Network for Text Classification","2015-11-27"
"SWEM-aver","http://arxiv.org/abs/1805.09843v1","Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms","2018-05-24"
"SGCN","http://arxiv.org/abs/1902.07153v1","Simplifying Graph Convolutional Networks","2019-02-19"
"Text GCN","http://arxiv.org/abs/1809.05679v3","Graph Convolutional Networks for Text Classification","2018-09-15"
"CNN+Lowercased","http://arxiv.org/abs/1707.01780v3","On the Role of Text Preprocessing in Neural Network Architectures: An Evaluation Study on Text Categorization and Sentiment Analysis","2017-07-06"
"FastText","http://arxiv.org/abs/1607.01759v3","Bag of Tricks for Efficient Text Classification","2016-07-06"
"Seq2CNN(50)","http://arxiv.org/abs/1805.07745v4","Abstractive Text Classification Using Sequence-to-convolution Neural Networks","2018-05-20"
"M-ACNN","http://arxiv.org/abs/1709.08294v3","Learning Context-Sensitive Convolutional Filters for Text Processing","2017-09-25"
"RESIDE","http://arxiv.org/abs/1812.04361v2","RESIDE: Improving Distantly-Supervised Neural Relation Extraction using Side Information","2018-12-11"
"PCNN+ATT","https://aclanthology.coli.uni-saarland.de/papers/P16-1200/p16-1200","Neural Relation Extraction with Selective Attention over Instances","2016-08-01"
"MIML-RE","","",""
"MultiR","","",""
"Lattice","http://arxiv.org/abs/1805.02023v4","Chinese NER Using Lattice LSTM","2018-05-05"
"BiLSTM+CRF+adversarial+self-attention","https://aclanthology.coli.uni-saarland.de/papers/D18-1017/d18-1017","Adversarial Transfer Learning for Chinese Named Entity Recognition with Self-Attention Mechanism","2018-10-01"
"Aguilar et al.","https://aclanthology.coli.uni-saarland.de/papers/N18-1127/n18-1127","Modeling Noisiness to Recognize Named Entities using Multitask Neural Networks on Social Media","2018-06-01"
"SpinningBytes","https://aclanthology.coli.uni-saarland.de/papers/W17-4422/w17-4422","Transfer Learning and Sentence Level Features for Named Entity Recognition on Tweets","2017-09-01"
"BERT Large","http://arxiv.org/abs/1810.04805v1","BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding","2018-10-11"
"CVT + Multi-Task","http://arxiv.org/abs/1809.08370v1","Semi-Supervised Sequence Modeling with Cross-View Training","2018-09-22"
"BERT Base","http://arxiv.org/abs/1810.04805v1","BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding","2018-10-11"
"Neural-CRF+AE","http://arxiv.org/abs/1808.09075v1","Evaluating the Utility of Hand-crafted Features in Sequence Labelling","2018-08-28"
"BiLSTM-CRF+ELMo","http://arxiv.org/abs/1802.05365v2","Deep contextualized word representations","2018-02-15"
"LD-Net","http://arxiv.org/abs/1804.07827v2","Efficient Contextualized Representation: Language Model Pruning for Sequence Labeling","2018-04-20"
"TagLM","http://arxiv.org/abs/1705.00108v1","Semi-supervised sequence tagging with bidirectional language models","2017-04-29"
"CRF + AutoEncoder","http://arxiv.org/abs/1808.09075v1","Evaluating the Utility of Hand-crafted Features in Sequence Labelling","2018-08-28"
"S-LSTM","http://arxiv.org/abs/1805.02474v1","Sentence-State LSTM for Text Representation","2018-05-07"
"LSTM with dynamic skip","http://arxiv.org/abs/1811.03873v1","Long Short-Term Memory with Dynamic Skip Connections","2018-11-09"
"HSCRF","https://aclanthology.coli.uni-saarland.de/papers/P18-2038/p18-2038","Hybrid semi-Markov CRF for Neural Sequence Labeling","2018-07-01"
"Yang et al.","http://arxiv.org/abs/1703.06345v1","Transfer Learning for Sequence Tagging with Hierarchical Recurrent Networks","2017-03-18"
"LM-LSTM-CRF","http://arxiv.org/abs/1709.04109v4","Empower Sequence Labeling with Task-Aware Neural Language Model","2017-09-13"
"Ma and Hovy","http://arxiv.org/abs/1603.01354v5","End-to-end Sequence Labeling via Bi-directional LSTM-CNNs-CRF","2016-03-04"
"LSTM-CRF","http://arxiv.org/abs/1603.01360v3","Neural Architectures for Named Entity Recognition","2016-03-04"
"SWEM-CRF","http://arxiv.org/abs/1805.09843v1","Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms","2018-05-24"
"VSL-GG-Hier","https://aclanthology.coli.uni-saarland.de/papers/D18-1020/d18-1020","Variational Sequential Labelers for Semi-Supervised Learning","2018-10-01"
"Bi-LSTM-CRF + Lexical Features","http://arxiv.org/abs/1806.03489v1","Robust Lexical Features for Improved Neural Network Named-Entity Recognition","2018-06-09"
"BiLSTM-CRF","http://arxiv.org/abs/1702.02098v3","Fast and Accurate Entity Recognition with Iterated Dilated Convolutions","2017-02-07"
"Iterated Dilated CNN","http://arxiv.org/abs/1702.02098v3","Fast and Accurate Entity Recognition with Iterated Dilated Convolutions","2017-02-07"
"Joint Model","","",""
"Averaged Perceptron","","",""
"SCIIE","http://arxiv.org/abs/1808.09602v1","Multi-Task Identification of Entities, Relations, and Coreference for Scientific Knowledge Graph Construction","2018-08-29"
"CollaboNet","http://arxiv.org/abs/1809.07950v1","CollaboNet: collaboration of deep neural networks for biomedical named entity recognition","2018-09-21"
"MMMU-BA","https://aclanthology.coli.uni-saarland.de/papers/D18-1382/d18-1382","Contextual Inter-modal Attention for Multi-modal Sentiment Analysis","2018-10-01"
"bc-LSTM","https://aclanthology.coli.uni-saarland.de/papers/P17-1081/p17-1081","Context-Dependent Sentiment Analysis in User-Generated Videos","2017-07-01"
"MARN","http://arxiv.org/abs/1802.00923v1","Multi-attention Recurrent Network for Human Communication Comprehension","2018-02-03"
"CHFusion","http://arxiv.org/abs/1806.06228v1","Multimodal Sentiment Analysis using Hierarchical Fusion with Context Modeling","2018-06-16"
"Liu et al.","https://aclanthology.coli.uni-saarland.de/papers/N18-2045/n18-2045","Recurrent Entity Networks with Delayed Memory Update for Targeted Aspect-Based Sentiment Analysis","2018-06-01"
